wednesday |Wednesday,4/10/2014,20,1,0.05
wednesday |Wednesday,5/10/2014,13,0,0.0
wednesday |Wednesday,6/10/2014,23,0,0.0
wednesday |Wednesday,8/10/2014,21,3,0.14285714285714285
wednesday |Wednesday,30/09/2014,25,1,0.04
wednesday |Wednesday,9/10/2014,21,8,0.38095238095238093
wednesday |Wednesday,7/10/2014,23,0,0.0
wednesday |Wednesday,2/10/2014,24,11,0.4583333333333333
wednesday |Wednesday,1/10/2014,18,4,0.2222222222222222
wednesday |Wednesday,3/10/2014,20,2,0.1
