suruc |Suruc,4/10/2014,20,0,0.0
suruc |Suruc,5/10/2014,13,1,0.07692307692307693
suruc |Suruc,6/10/2014,23,1,0.043478260869565216
suruc |Suruc,8/10/2014,21,0,0.0
suruc |Suruc,30/09/2014,25,0,0.0
suruc |Suruc,9/10/2014,21,0,0.0
suruc |Suruc,7/10/2014,23,1,0.043478260869565216
suruc |Suruc,2/10/2014,24,1,0.041666666666666664
suruc |Suruc,1/10/2014,18,0,0.0
suruc |Suruc,3/10/2014,20,1,0.05
