prasetyo |Prasetyo,4/10/2014,20,0,0.0
prasetyo |Prasetyo,5/10/2014,13,0,0.0
prasetyo |Prasetyo,6/10/2014,23,0,0.0
prasetyo |Prasetyo,8/10/2014,21,0,0.0
prasetyo |Prasetyo,30/09/2014,25,0,0.0
prasetyo |Prasetyo,9/10/2014,21,0,0.0
prasetyo |Prasetyo,7/10/2014,23,2,0.08695652173913043
prasetyo |Prasetyo,2/10/2014,24,0,0.0
prasetyo |Prasetyo,1/10/2014,18,0,0.0
prasetyo |Prasetyo,3/10/2014,20,0,0.0
