turkish |Turkish,4/10/2014,20,1,0.05
turkish |Turkish,5/10/2014,13,1,0.07692307692307693
turkish |Turkish,6/10/2014,23,1,0.043478260869565216
turkish |Turkish,8/10/2014,21,1,0.047619047619047616
turkish |Turkish,30/09/2014,25,0,0.0
turkish |Turkish,9/10/2014,21,0,0.0
turkish |Turkish,7/10/2014,23,1,0.043478260869565216
turkish |Turkish,2/10/2014,24,1,0.041666666666666664
turkish |Turkish,1/10/2014,18,0,0.0
turkish |Turkish,3/10/2014,20,1,0.05
