australian |Australian |Australians,4/10/2014,20,4,0.2
australian |Australian |Australians,5/10/2014,13,4,0.3076923076923077
australian |Australian |Australians,6/10/2014,23,9,0.391304347826087
australian |Australian |Australians,8/10/2014,21,7,0.3333333333333333
australian |Australian |Australians,30/09/2014,25,7,0.28
australian |Australian |Australians,9/10/2014,21,8,0.38095238095238093
australian |Australian |Australians,7/10/2014,23,9,0.391304347826087
australian |Australian |Australians,2/10/2014,24,11,0.4583333333333333
australian |Australian |Australians,1/10/2014,18,10,0.5555555555555556
australian |Australian |Australians,3/10/2014,20,3,0.15
