tax |tax |taxes,4/10/2014,20,0,0.0
tax |tax |taxes,5/10/2014,13,2,0.15384615384615385
tax |tax |taxes,6/10/2014,23,2,0.08695652173913043
tax |tax |taxes,8/10/2014,21,0,0.0
tax |tax |taxes,30/09/2014,25,1,0.04
tax |tax |taxes,9/10/2014,21,2,0.09523809523809523
tax |tax |taxes,7/10/2014,23,1,0.043478260869565216
tax |tax |taxes,2/10/2014,24,1,0.041666666666666664
tax |tax |taxes,1/10/2014,18,1,0.05555555555555555
tax |tax |taxes,3/10/2014,20,0,0.0
