ebola |Ebola,4/10/2014,20,0,0.0
ebola |Ebola,5/10/2014,13,0,0.0
ebola |Ebola,6/10/2014,23,0,0.0
ebola |Ebola,8/10/2014,21,1,0.047619047619047616
ebola |Ebola,30/09/2014,25,0,0.0
ebola |Ebola,9/10/2014,21,2,0.09523809523809523
ebola |Ebola,7/10/2014,23,0,0.0
ebola |Ebola,2/10/2014,24,1,0.041666666666666664
ebola |Ebola,1/10/2014,18,0,0.0
ebola |Ebola,3/10/2014,20,0,0.0
