monday |Monday,4/10/2014,20,0,0.0
monday |Monday,5/10/2014,13,2,0.15384615384615385
monday |Monday,6/10/2014,23,8,0.34782608695652173
monday |Monday,8/10/2014,21,5,0.23809523809523808
monday |Monday,30/09/2014,25,6,0.24
monday |Monday,9/10/2014,21,0,0.0
monday |Monday,7/10/2014,23,11,0.4782608695652174
monday |Monday,2/10/2014,24,1,0.041666666666666664
monday |Monday,1/10/2014,18,1,0.05555555555555555
monday |Monday,3/10/2014,20,2,0.1
