ato |ATO,4/10/2014,20,0,0.0
ato |ATO,5/10/2014,13,0,0.0
ato |ATO,6/10/2014,23,0,0.0
ato |ATO,8/10/2014,21,0,0.0
ato |ATO,30/09/2014,25,0,0.0
ato |ATO,9/10/2014,21,1,0.047619047619047616
ato |ATO,7/10/2014,23,0,0.0
ato |ATO,2/10/2014,24,0,0.0
ato |ATO,1/10/2014,18,1,0.05555555555555555
ato |ATO,3/10/2014,20,0,0.0
