industry |industry |Industry,4/10/2014,20,1,0.05
industry |industry |Industry,5/10/2014,13,1,0.07692307692307693
industry |industry |Industry,6/10/2014,23,3,0.13043478260869565
industry |industry |Industry,8/10/2014,21,3,0.14285714285714285
industry |industry |Industry,30/09/2014,25,2,0.08
industry |industry |Industry,9/10/2014,21,0,0.0
industry |industry |Industry,7/10/2014,23,2,0.08695652173913043
industry |industry |Industry,2/10/2014,24,2,0.08333333333333333
industry |industry |Industry,1/10/2014,18,2,0.1111111111111111
industry |industry |Industry,3/10/2014,20,4,0.2
