ranking |rankings |Ranking,4/10/2014,20,0,0.0
ranking |rankings |Ranking,5/10/2014,13,0,0.0
ranking |rankings |Ranking,6/10/2014,23,0,0.0
ranking |rankings |Ranking,8/10/2014,21,0,0.0
ranking |rankings |Ranking,30/09/2014,25,0,0.0
ranking |rankings |Ranking,9/10/2014,21,0,0.0
ranking |rankings |Ranking,7/10/2014,23,0,0.0
ranking |rankings |Ranking,2/10/2014,24,2,0.08333333333333333
ranking |rankings |Ranking,1/10/2014,18,0,0.0
ranking |rankings |Ranking,3/10/2014,20,0,0.0
