target |target |targets,4/10/2014,20,1,0.05
target |target |targets,5/10/2014,13,3,0.23076923076923078
target |target |targets,6/10/2014,23,2,0.08695652173913043
target |target |targets,8/10/2014,21,2,0.09523809523809523
target |target |targets,30/09/2014,25,2,0.08
target |target |targets,9/10/2014,21,0,0.0
target |target |targets,7/10/2014,23,1,0.043478260869565216
target |target |targets,2/10/2014,24,0,0.0
target |target |targets,1/10/2014,18,1,0.05555555555555555
target |target |targets,3/10/2014,20,2,0.1
