back |back |backs,4/10/2014,20,5,0.25
back |back |backs,5/10/2014,13,5,0.38461538461538464
back |back |backs,6/10/2014,23,7,0.30434782608695654
back |back |backs,8/10/2014,21,7,0.3333333333333333
back |back |backs,30/09/2014,25,5,0.2
back |back |backs,9/10/2014,21,6,0.2857142857142857
back |back |backs,7/10/2014,23,6,0.2608695652173913
back |back |backs,2/10/2014,24,8,0.3333333333333333
back |back |backs,1/10/2014,18,9,0.5
back |back |backs,3/10/2014,20,9,0.45
