parliament |parliament |Parliament,4/10/2014,20,3,0.15
parliament |parliament |Parliament,5/10/2014,13,1,0.07692307692307693
parliament |parliament |Parliament,6/10/2014,23,2,0.08695652173913043
parliament |parliament |Parliament,8/10/2014,21,1,0.047619047619047616
parliament |parliament |Parliament,30/09/2014,25,0,0.0
parliament |parliament |Parliament,9/10/2014,21,3,0.14285714285714285
parliament |parliament |Parliament,7/10/2014,23,0,0.0
parliament |parliament |Parliament,2/10/2014,24,2,0.08333333333333333
parliament |parliament |Parliament,1/10/2014,18,2,0.1111111111111111
parliament |parliament |Parliament,3/10/2014,20,4,0.2
