kurd |Kurds,4/10/2014,20,0,0.0
kurd |Kurds,5/10/2014,13,1,0.07692307692307693
kurd |Kurds,6/10/2014,23,1,0.043478260869565216
kurd |Kurds,8/10/2014,21,0,0.0
kurd |Kurds,30/09/2014,25,0,0.0
kurd |Kurds,9/10/2014,21,0,0.0
kurd |Kurds,7/10/2014,23,1,0.043478260869565216
kurd |Kurds,2/10/2014,24,0,0.0
kurd |Kurds,1/10/2014,18,0,0.0
kurd |Kurds,3/10/2014,20,2,0.1
