hunt |Hunt,4/10/2014,20,1,0.05
hunt |Hunt,5/10/2014,13,0,0.0
hunt |Hunt,6/10/2014,23,0,0.0
hunt |Hunt,8/10/2014,21,0,0.0
hunt |Hunt,30/09/2014,25,1,0.04
hunt |Hunt,9/10/2014,21,1,0.047619047619047616
hunt |Hunt,7/10/2014,23,1,0.043478260869565216
hunt |Hunt,2/10/2014,24,0,0.0
hunt |Hunt,1/10/2014,18,0,0.0
hunt |Hunt,3/10/2014,20,0,0.0
