murder |murder |murders,4/10/2014,20,4,0.2
murder |murder |murders,5/10/2014,13,2,0.15384615384615385
murder |murder |murders,6/10/2014,23,2,0.08695652173913043
murder |murder |murders,8/10/2014,21,1,0.047619047619047616
murder |murder |murders,30/09/2014,25,2,0.08
murder |murder |murders,9/10/2014,21,0,0.0
murder |murder |murders,7/10/2014,23,2,0.08695652173913043
murder |murder |murders,2/10/2014,24,0,0.0
murder |murder |murders,1/10/2014,18,0,0.0
murder |murder |murders,3/10/2014,20,1,0.05
