pick |picks |pick,4/10/2014,20,0,0.0
pick |picks |pick,5/10/2014,13,1,0.07692307692307693
pick |picks |pick,6/10/2014,23,2,0.08695652173913043
pick |picks |pick,8/10/2014,21,4,0.19047619047619047
pick |picks |pick,30/09/2014,25,1,0.04
pick |picks |pick,9/10/2014,21,3,0.14285714285714285
pick |picks |pick,7/10/2014,23,0,0.0
pick |picks |pick,2/10/2014,24,2,0.08333333333333333
pick |picks |pick,1/10/2014,18,1,0.05555555555555555
pick |picks |pick,3/10/2014,20,1,0.05
