coach |Coach |coach,4/10/2014,20,2,0.1
coach |Coach |coach,5/10/2014,13,0,0.0
coach |Coach |coach,6/10/2014,23,3,0.13043478260869565
coach |Coach |coach,8/10/2014,21,0,0.0
coach |Coach |coach,30/09/2014,25,4,0.16
coach |Coach |coach,9/10/2014,21,3,0.14285714285714285
coach |Coach |coach,7/10/2014,23,3,0.13043478260869565
coach |Coach |coach,2/10/2014,24,6,0.25
coach |Coach |coach,1/10/2014,18,3,0.16666666666666666
coach |Coach |coach,3/10/2014,20,1,0.05
