war |wars |war,4/10/2014,20,3,0.15
war |wars |war,5/10/2014,13,0,0.0
war |wars |war,6/10/2014,23,0,0.0
war |wars |war,8/10/2014,21,0,0.0
war |wars |war,30/09/2014,25,2,0.08
war |wars |war,9/10/2014,21,0,0.0
war |wars |war,7/10/2014,23,2,0.08695652173913043
war |wars |war,2/10/2014,24,0,0.0
war |wars |war,1/10/2014,18,3,0.16666666666666666
war |wars |war,3/10/2014,20,1,0.05
