thursday |Thursday,4/10/2014,20,3,0.15
thursday |Thursday,5/10/2014,13,0,0.0
thursday |Thursday,6/10/2014,23,0,0.0
thursday |Thursday,8/10/2014,21,0,0.0
thursday |Thursday,30/09/2014,25,0,0.0
thursday |Thursday,9/10/2014,21,7,0.3333333333333333
thursday |Thursday,7/10/2014,23,2,0.08695652173913043
thursday |Thursday,2/10/2014,24,11,0.4583333333333333
thursday |Thursday,1/10/2014,18,1,0.05555555555555555
thursday |Thursday,3/10/2014,20,9,0.45
