area |area |areas,4/10/2014,20,5,0.25
area |area |areas,5/10/2014,13,5,0.38461538461538464
area |area |areas,6/10/2014,23,7,0.30434782608695654
area |area |areas,8/10/2014,21,1,0.047619047619047616
area |area |areas,30/09/2014,25,7,0.28
area |area |areas,9/10/2014,21,2,0.09523809523809523
area |area |areas,7/10/2014,23,3,0.13043478260869565
area |area |areas,2/10/2014,24,2,0.08333333333333333
area |area |areas,1/10/2014,18,4,0.2222222222222222
area |area |areas,3/10/2014,20,4,0.2
