burqa |burqas |burqa,4/10/2014,20,2,0.1
burqa |burqas |burqa,5/10/2014,13,0,0.0
burqa |burqas |burqa,6/10/2014,23,0,0.0
burqa |burqas |burqa,8/10/2014,21,0,0.0
burqa |burqas |burqa,30/09/2014,25,0,0.0
burqa |burqas |burqa,9/10/2014,21,1,0.047619047619047616
burqa |burqas |burqa,7/10/2014,23,0,0.0
burqa |burqas |burqa,2/10/2014,24,2,0.08333333333333333
burqa |burqas |burqa,1/10/2014,18,1,0.05555555555555555
burqa |burqas |burqa,3/10/2014,20,3,0.15
