wife |wife,4/10/2014,20,3,0.15
wife |wife,5/10/2014,13,0,0.0
wife |wife,6/10/2014,23,1,0.043478260869565216
wife |wife,8/10/2014,21,3,0.14285714285714285
wife |wife,30/09/2014,25,1,0.04
wife |wife,9/10/2014,21,2,0.09523809523809523
wife |wife,7/10/2014,23,2,0.08695652173913043
wife |wife,2/10/2014,24,0,0.0
wife |wife,1/10/2014,18,1,0.05555555555555555
wife |wife,3/10/2014,20,0,0.0
