seat |seat |seats,4/10/2014,20,1,0.05
seat |seat |seats,5/10/2014,13,1,0.07692307692307693
seat |seat |seats,6/10/2014,23,0,0.0
seat |seat |seats,8/10/2014,21,0,0.0
seat |seat |seats,30/09/2014,25,0,0.0
seat |seat |seats,9/10/2014,21,1,0.047619047619047616
seat |seat |seats,7/10/2014,23,2,0.08695652173913043
seat |seat |seats,2/10/2014,24,0,0.0
seat |seat |seats,1/10/2014,18,1,0.05555555555555555
seat |seat |seats,3/10/2014,20,0,0.0
