family |family,4/10/2014,20,4,0.2
family |family,5/10/2014,13,2,0.15384615384615385
family |family,6/10/2014,23,3,0.13043478260869565
family |family,8/10/2014,21,6,0.2857142857142857
family |family,30/09/2014,25,4,0.16
family |family,9/10/2014,21,8,0.38095238095238093
family |family,7/10/2014,23,5,0.21739130434782608
family |family,2/10/2014,24,3,0.125
family |family,1/10/2014,18,1,0.05555555555555555
family |family,3/10/2014,20,5,0.25
