boy |Boys |boys |boy,4/10/2014,20,1,0.05
boy |Boys |boys |boy,5/10/2014,13,1,0.07692307692307693
boy |Boys |boys |boy,6/10/2014,23,1,0.043478260869565216
boy |Boys |boys |boy,8/10/2014,21,1,0.047619047619047616
boy |Boys |boys |boy,30/09/2014,25,1,0.04
boy |Boys |boys |boy,9/10/2014,21,2,0.09523809523809523
boy |Boys |boys |boy,7/10/2014,23,1,0.043478260869565216
boy |Boys |boys |boy,2/10/2014,24,2,0.08333333333333333
boy |Boys |boys |boy,1/10/2014,18,2,0.1111111111111111
boy |Boys |boys |boy,3/10/2014,20,1,0.05
