market |market |markets,4/10/2014,20,0,0.0
market |market |markets,5/10/2014,13,2,0.15384615384615385
market |market |markets,6/10/2014,23,5,0.21739130434782608
market |market |markets,8/10/2014,21,3,0.14285714285714285
market |market |markets,30/09/2014,25,2,0.08
market |market |markets,9/10/2014,21,2,0.09523809523809523
market |market |markets,7/10/2014,23,3,0.13043478260869565
market |market |markets,2/10/2014,24,2,0.08333333333333333
market |market |markets,1/10/2014,18,3,0.16666666666666666
market |market |markets,3/10/2014,20,3,0.15
