leung |Leung,4/10/2014,20,1,0.05
leung |Leung,5/10/2014,13,1,0.07692307692307693
leung |Leung,6/10/2014,23,0,0.0
leung |Leung,8/10/2014,21,0,0.0
leung |Leung,30/09/2014,25,1,0.04
leung |Leung,9/10/2014,21,1,0.047619047619047616
leung |Leung,7/10/2014,23,0,0.0
leung |Leung,2/10/2014,24,1,0.041666666666666664
leung |Leung,1/10/2014,18,0,0.0
leung |Leung,3/10/2014,20,0,0.0
