attack |attack |attacks,4/10/2014,20,4,0.2
attack |attack |attacks,5/10/2014,13,3,0.23076923076923078
attack |attack |attacks,6/10/2014,23,3,0.13043478260869565
attack |attack |attacks,8/10/2014,21,3,0.14285714285714285
attack |attack |attacks,30/09/2014,25,2,0.08
attack |attack |attacks,9/10/2014,21,1,0.047619047619047616
attack |attack |attacks,7/10/2014,23,1,0.043478260869565216
attack |attack |attacks,2/10/2014,24,3,0.125
attack |attack |attacks,1/10/2014,18,5,0.2777777777777778
attack |attack |attacks,3/10/2014,20,4,0.2
