hird |Hird |Hirds,4/10/2014,20,2,0.1
hird |Hird |Hirds,5/10/2014,13,0,0.0
hird |Hird |Hirds,6/10/2014,23,1,0.043478260869565216
hird |Hird |Hirds,8/10/2014,21,0,0.0
hird |Hird |Hirds,30/09/2014,25,0,0.0
hird |Hird |Hirds,9/10/2014,21,1,0.047619047619047616
hird |Hird |Hirds,7/10/2014,23,2,0.08695652173913043
hird |Hird |Hirds,2/10/2014,24,5,0.20833333333333334
hird |Hird |Hirds,1/10/2014,18,1,0.05555555555555555
hird |Hird |Hirds,3/10/2014,20,1,0.05
