town |towns |town,4/10/2014,20,0,0.0
town |towns |town,5/10/2014,13,1,0.07692307692307693
town |towns |town,6/10/2014,23,1,0.043478260869565216
town |towns |town,8/10/2014,21,2,0.09523809523809523
town |towns |town,30/09/2014,25,1,0.04
town |towns |town,9/10/2014,21,1,0.047619047619047616
town |towns |town,7/10/2014,23,2,0.08695652173913043
town |towns |town,2/10/2014,24,2,0.08333333333333333
town |towns |town,1/10/2014,18,1,0.05555555555555555
town |towns |town,3/10/2014,20,3,0.15
