payment |payment |payments,4/10/2014,20,1,0.05
payment |payment |payments,5/10/2014,13,1,0.07692307692307693
payment |payment |payments,6/10/2014,23,0,0.0
payment |payment |payments,8/10/2014,21,1,0.047619047619047616
payment |payment |payments,30/09/2014,25,3,0.12
payment |payment |payments,9/10/2014,21,4,0.19047619047619047
payment |payment |payments,7/10/2014,23,1,0.043478260869565216
payment |payment |payments,2/10/2014,24,0,0.0
payment |payment |payments,1/10/2014,18,2,0.1111111111111111
payment |payment |payments,3/10/2014,20,0,0.0
