south |Souths |south |South,4/10/2014,20,2,0.1
south |Souths |south |South,5/10/2014,13,1,0.07692307692307693
south |Souths |south |South,6/10/2014,23,6,0.2608695652173913
south |Souths |south |South,8/10/2014,21,4,0.19047619047619047
south |Souths |south |South,30/09/2014,25,0,0.0
south |Souths |south |South,9/10/2014,21,2,0.09523809523809523
south |Souths |south |South,7/10/2014,23,5,0.21739130434782608
south |Souths |south |South,2/10/2014,24,2,0.08333333333333333
south |Souths |south |South,1/10/2014,18,4,0.2222222222222222
south |Souths |south |South,3/10/2014,20,4,0.2
