investigation |investigations |Investigation |investigation |Investigations,4/10/2014,20,3,0.15
investigation |investigations |Investigation |investigation |Investigations,5/10/2014,13,2,0.15384615384615385
investigation |investigations |Investigation |investigation |Investigations,6/10/2014,23,3,0.13043478260869565
investigation |investigations |Investigation |investigation |Investigations,8/10/2014,21,3,0.14285714285714285
investigation |investigations |Investigation |investigation |Investigations,30/09/2014,25,3,0.12
investigation |investigations |Investigation |investigation |Investigations,9/10/2014,21,4,0.19047619047619047
investigation |investigations |Investigation |investigation |Investigations,7/10/2014,23,3,0.13043478260869565
investigation |investigations |Investigation |investigation |Investigations,2/10/2014,24,2,0.08333333333333333
investigation |investigations |Investigation |investigation |Investigations,1/10/2014,18,2,0.1111111111111111
investigation |investigations |Investigation |investigation |Investigations,3/10/2014,20,0,0.0
