man |man,4/10/2014,20,7,0.35
man |man,5/10/2014,13,4,0.3076923076923077
man |man,6/10/2014,23,4,0.17391304347826086
man |man,8/10/2014,21,5,0.23809523809523808
man |man,30/09/2014,25,6,0.24
man |man,9/10/2014,21,5,0.23809523809523808
man |man,7/10/2014,23,1,0.043478260869565216
man |man,2/10/2014,24,4,0.16666666666666666
man |man,1/10/2014,18,3,0.16666666666666666
man |man,3/10/2014,20,5,0.25
