hird |Hird |Hirds,0.004118139101351235
club |club |Club |Clubs |clubs,0.003337751603234212
turkish |Turkish,0.002851516631145225
border |Borders |border |borders,0.0028447972994473437
player |player |players |Players,0.0025136547505324506
police |police |Police,0.0024740155020765557
government |governments |Government |Governments |government,0.002379152523607978
kong |Kong,0.002232837906251377
hong kong |Hong Kong,0.0021724909358121504
pick |picks |pick,0.002137820391251051
town |towns |town,0.001997073399290288
burqa |burqas |burqa,0.001973195725310612
essendon |Essendon,0.0019504239869435887
melbourne |Melbourne,0.0019321559068964228
kobane |Kobane,0.0019317654137810702
hong |Hong,0.0018817483179465386
islamic state |Islamic State,0.001816254094564684
fund |funds |fund,0.0018124111827124206
australia |Australia,0.001799519679490723
thompson |Thompson,0.0016747597004810974
syria |Syria,0.0016488308209886655
apartment |apartment |apartments,0.0016403675306799065
cent |cent,0.0015769399062533589
hansen-bartel |Hansen-Bartel,0.0015326901892405587
leung |Leung,0.0014801195001246273
woman |woman,0.0014476755332623631
trade |Trade |trade |trades,0.0014407004088533325
parliament |parliament |Parliament,0.0014401180588382017
rio |Rio,0.0014257583155726126
people |People |people,0.0014217393401611072
job |jobs |job,0.001421134700182815
photo |photos |photo |Photo,0.0013999043765504705
protester |protesters |protester |Protesters,0.0013833687027950212
air |air |Air,0.0013833687027950212
university |university |University,0.0013757616750666429
company |company |Company,0.001369047606220019
market |market |markets,0.0013462777916146288
man |man,0.0013349205194191668
dewani |Dewani,0.0013156617778885577
project |Projects |project |projects |Project,0.0013148904015479231
child |child |children |Children,0.0012882480596478811
prasetyo |Prasetyo,0.0012831824840153514
attack |attack |attacks,0.001269214402763254
coach |Coach |coach,0.001264813152883849
day |days |day,0.0012618543247200724
year |years,0.001253544719766695
abbott |Abbott,0.001240779336944406
crime |Crime |crime |crimes,0.0012374703703567753
hospital |hospital |hospitals,0.0012314052966877376
decision |decisions |decision,0.0012271538319673632
boy |Boys |boys |boy,0.0012256704970841784
student |students |student |Students,0.0012105340204726913
car |car |cars,0.0012042554322657143
ugl |UGL,0.0011923184862115055
shark |shark |sharks,0.0011923184862115055
deal |DEAL |deal |deals,0.0011687914680425984
train |train |trains,0.0011465924383453016
group |group |Group |groups,0.0011383088140121441
collingwood |Collingwood,0.0011364954549969047
sydney |Sydney,0.001129420187100529
city |City |city,0.001126010440170097
labor |Labor,0.0011181555411996012
appeal |appeal |appeals,0.0011181555411996012
militant |militants |Militants,0.0011116355647459992
week |Weeks |weeks |week,0.0011005685892858184
ebola |Ebola,0.0010862454679060752
bulldog |Bulldogs,0.0010817886317173993
month |months |month,0.0010743540754534263
afl |AFL,0.001068982377459467
board |board |boards,0.0010660621859401405
judge |Judge |judge |judges,0.0010651058129548202
rate |rate |rates,0.0010560317595336517
building |building |buildings,0.001053646567668855
payment |payment |payments,0.001051258295872137
industry |industry |Industry,0.0010460314688393606
area |area |areas,0.0010308150210955858
plastic |plastic,0.0010278607639754357
teneriffe |Teneriffe,0.0010228459094972142
australian |Australian |Australians,0.0010222580263657389
kurd |Kurds,0.0010057620320059084
case |cases |case,9.989993763765898E-4
scheme |schemes |scheme,9.980308209008289E-4
tax |tax |taxes,9.944335231222917E-4
home |home |homes,9.800571354075765E-4
nurse |nurses |nurse |Nurses,9.733180954895889E-4
rba |RBA,9.66021136747369E-4
frawley |Frawley,9.655515270276225E-4
ban |ban |bans,9.634174894465326E-4
world |World |worlds |world,9.630352448823199E-4
ranking |rankings |Ranking,9.623868630115136E-4
iraq |Iraq,9.541572907720265E-4
officer |officers |Officers |officer,9.46131611784278E-4
thursday |Thursday,9.428397758351367E-4
body |body,9.39207429677088E-4
abc |ABC,9.387144768966216E-4
program |programs |program,9.319675863354678E-4
turkey |Turkey,9.176765482088204E-4
mr abbott |Mr Abbott,9.170977707849956E-4
family |family,9.159556326001062E-4
beam |Beams,9.091963639975239E-4
glencore |Glencore,9.084302224569496E-4
report |reports |report,9.061769058554422E-4
blake |Blake,8.91098947232883E-4
flower |Flowers |Flower,8.91098947232883E-4
worker |Workers |workers,8.901243069383781E-4
monday |Monday,8.807723014724398E-4
million |million |millions,8.796173715240077E-4
question |Questions |Question |questions |question,8.778458020846244E-4
security |Security |security,8.757336542474185E-4
budget |budget,8.750310713687829E-4
friend |friends |friend,8.7357205177592E-4
price |price |Price |prices,8.723151791039563E-4
dtz |DTZ,8.634030417393661E-4
nolan |Nolan,8.634030417393661E-4
seat |seat |seats,8.634030417393661E-4
campaign |campaigns |campaign,8.558439290503859E-4
sanliurfa |Sanliurfa,8.554549893435676E-4
crossing |crossing,8.554549893435676E-4
protest |protest |protests,8.523715912476786E-4
staff |staff,8.499767820636709E-4
suruc |Suruc,8.499767820636709E-4
life |life |Life,8.497234808823047E-4
mr leung |Mr Leung,8.435423494243103E-4
bishop |Bishop,8.435423494243103E-4
plan |plans |plan,8.359615883428324E-4
wife |wife,8.259088933879384E-4
super |super |Super,8.222886111803485E-4
violence |violence,8.210190641526739E-4
ato |ATO,8.198110314542523E-4
work |work |works,8.192423565759758E-4
bank |Bank |Banks |bank |banks,8.151994141470661E-4
strike |strike |strikes,8.146841009295565E-4
son |son,8.114559805618198E-4
state |State |state |states,8.094175856212179E-4
season |season |seasons,8.094175856212179E-4
friday |Friday,8.044316637231892E-4
investigation |investigations |Investigation |investigation |Investigations,8.044316637231892E-4
side |side |sides,7.896756932889929E-4
house |houses |House |house,7.876712254964493E-4
street |street |streets,7.86214846598328E-4
wednesday |Wednesday,7.853533184080498E-4
hawthorn |Hawthorn,7.845236016295204E-4
