campaign |campaigns |campaign,2014100813,7061,5,7.08114997875655E-4
campaign |campaigns |campaign,2014100708,5400,8,0.0014814814814814814
campaign |campaigns |campaign,2014100814,6011,8,0.0013308933621693562
campaign |campaigns |campaign,2014100705,2740,0,0.0
campaign |campaigns |campaign,2014100811,6604,13,0.001968503937007874
campaign |campaigns |campaign,2014100706,3398,3,8.828722778104767E-4
campaign |campaigns |campaign,2014100812,5896,6,0.0010176390773405698
campaign |campaigns |campaign,2014100817,6743,14,0.002076227198576301
campaign |campaigns |campaign,2014100600,15771,2,1.268150402637753E-4
campaign |campaigns |campaign,2014100703,5792,1,1.7265193370165745E-4
campaign |campaigns |campaign,2014100818,7400,8,0.001081081081081081
campaign |campaigns |campaign,2014100601,8669,1,1.1535355865728458E-4
campaign |campaigns |campaign,2014100704,3010,0,0.0
campaign |campaigns |campaign,2014100815,5628,6,0.0010660980810234541
campaign |campaigns |campaign,2014100701,13455,6,4.459308807134894E-4
campaign |campaigns |campaign,2014100816,7857,10,0.0012727504136438843
campaign |campaigns |campaign,2014100702,8524,1,1.1731581417175035E-4
campaign |campaigns |campaign,2014100509,9287,1,1.076773985140519E-4
campaign |campaigns |campaign,2014100508,6498,2,3.077870113881194E-4
campaign |campaigns |campaign,2014100819,4300,5,0.0011627906976744186
campaign |campaigns |campaign,2014100507,16911,0,0.0
campaign |campaigns |campaign,2014100403,6749,1,1.481700992739665E-4
campaign |campaigns |campaign,2014100506,11836,0,0.0
campaign |campaigns |campaign,2014100402,6613,0,0.0
campaign |campaigns |campaign,2014100505,6487,0,0.0
campaign |campaigns |campaign,2014100401,4570,0,0.0
campaign |campaigns |campaign,2014100504,3861,0,0.0
campaign |campaigns |campaign,2014100400,5285,3,5.676442762535478E-4
campaign |campaigns |campaign,2014100503,4540,6,0.0013215859030837004
campaign |campaigns |campaign,2014100709,5572,8,0.0014357501794687725
campaign |campaigns |campaign,2014100407,7111,1,1.406271972999578E-4
campaign |campaigns |campaign,2014100406,10763,2,1.85821796896776E-4
campaign |campaigns |campaign,2014100501,6148,0,0.0
campaign |campaigns |campaign,2014100405,10366,2,1.9293845263360988E-4
campaign |campaigns |campaign,2014100500,11540,1,8.665511265164645E-5
campaign |campaigns |campaign,2014100404,3086,0,0.0
campaign |campaigns |campaign,2014100409,9932,4,4.027386226339106E-4
campaign |campaigns |campaign,2014100408,10458,10,9.562057754828839E-4
campaign |campaigns |campaign,2014100903,4141,1,2.414875633904854E-4
campaign |campaigns |campaign,2014100613,12260,14,0.0011419249592169657
campaign |campaigns |campaign,2014100904,4854,1,2.0601565718994644E-4
campaign |campaigns |campaign,2014100614,10247,29,0.0028300966136430173
campaign |campaigns |campaign,2014100905,7777,0,0.0
campaign |campaigns |campaign,2014100615,8801,15,0.0017043517782070218
campaign |campaigns |campaign,2014100710,7431,15,0.0020185708518368995
campaign |campaigns |campaign,2014100906,3505,2,5.706134094151213E-4
campaign |campaigns |campaign,2014100616,10833,21,0.001938521185267239
campaign |campaigns |campaign,2014100711,13474,15,0.0011132551580822325
campaign |campaigns |campaign,2014100617,11523,20,0.0017356591165495097
campaign |campaigns |campaign,2014100900,3864,6,0.0015527950310559005
campaign |campaigns |campaign,2014100618,10834,15,0.0013845301827579842
campaign |campaigns |campaign,2014100901,3052,1,3.27653997378768E-4
campaign |campaigns |campaign,2014100619,10472,15,0.0014323911382734913
campaign |campaigns |campaign,2014100902,4916,0,0.0
