punch |punch |punches,2014100509,9287,5,5.383869925702595E-4
punch |punch |punches,2014100508,6498,0,0.0
punch |punch |punches,2014100819,4300,1,2.3255813953488373E-4
punch |punch |punches,2014100507,16911,2,1.182662172550411E-4
punch |punch |punches,2014100403,6749,0,0.0
punch |punch |punches,2014100506,11836,9,7.603920243325448E-4
punch |punch |punches,2014100402,6613,3,4.536518977771057E-4
punch |punch |punches,2014100505,6487,0,0.0
punch |punch |punches,2014100401,4570,1,2.188183807439825E-4
punch |punch |punches,2014100504,3861,1,2.59000259000259E-4
punch |punch |punches,2014100400,5285,2,3.784295175023652E-4
punch |punch |punches,2014100503,4540,5,0.0011013215859030838
punch |punch |punches,2014100709,5572,1,1.7946877243359656E-4
punch |punch |punches,2014100407,7111,1,1.406271972999578E-4
punch |punch |punches,2014100406,10763,4,3.71643593793552E-4
punch |punch |punches,2014100501,6148,8,0.0013012361743656475
punch |punch |punches,2014100405,10366,2,1.9293845263360988E-4
punch |punch |punches,2014100500,11540,1,8.665511265164645E-5
punch |punch |punches,2014100404,3086,0,0.0
punch |punch |punches,2014100409,9932,4,4.027386226339106E-4
punch |punch |punches,2014100408,10458,2,1.9124115509657678E-4
punch |punch |punches,2014100903,4141,0,0.0
punch |punch |punches,2014100613,12260,4,3.262642740619902E-4
punch |punch |punches,2014100904,4854,0,0.0
punch |punch |punches,2014100614,10247,1,9.758953840148337E-5
punch |punch |punches,2014100905,7777,0,0.0
punch |punch |punches,2014100615,8801,2,2.2724690376093625E-4
punch |punch |punches,2014100710,7431,1,1.3457139012245997E-4
punch |punch |punches,2014100906,3505,1,2.853067047075606E-4
punch |punch |punches,2014100616,10833,2,1.8462106526354657E-4
punch |punch |punches,2014100711,13474,4,2.9686804215526197E-4
punch |punch |punches,2014100617,11523,1,8.678295582747549E-5
punch |punch |punches,2014100900,3864,4,0.0010351966873706005
punch |punch |punches,2014100618,10834,2,1.8460402436773122E-4
punch |punch |punches,2014100901,3052,2,6.55307994757536E-4
punch |punch |punches,2014100619,10472,3,2.8647822765469827E-4
punch |punch |punches,2014100902,4916,0,0.0
punch |punch |punches,2014100716,9756,4,4.100041000410004E-4
punch |punch |punches,2014100800,3418,1,2.925687536571094E-4
punch |punch |punches,2014100717,12018,3,2.4962556165751375E-4
punch |punch |punches,2014100801,4912,0,0.0
punch |punch |punches,2014100718,9824,1,1.0179153094462541E-4
punch |punch |punches,2014100802,4582,0,0.0
punch |punch |punches,2014100719,8904,4,4.492362982929021E-4
punch |punch |punches,2014100803,4750,0,0.0
punch |punch |punches,2014100712,10146,3,2.9568302779420464E-4
punch |punch |punches,2014100804,8238,1,1.2138868657441127E-4
punch |punch |punches,2014100610,8565,4,4.670169293636894E-4
punch |punch |punches,2014100713,7382,2,2.70929287455974E-4
punch |punch |punches,2014100805,6904,3,4.3453070683661645E-4
punch |punch |punches,2014100611,8676,4,4.610419548178884E-4
punch |punch |punches,2014100714,9294,0,0.0
punch |punch |punches,2014100806,7696,0,0.0
punch |punch |punches,2014100612,7761,3,3.8654812524159255E-4
punch |punch |punches,2014100715,8494,5,5.886508123381211E-4
punch |punch |punches,2014100807,6298,0,0.0
punch |punch |punches,2014100519,13547,7,5.167195689082454E-4
punch |punch |punches,2014100809,5933,3,5.056463846283499E-4
