thursday |Thursday,2014100701,13455,1,7.432181345224824E-5
thursday |Thursday,2014100816,7857,3,3.8182512409316535E-4
thursday |Thursday,2014100702,8524,1,1.1731581417175035E-4
thursday |Thursday,2014100509,9287,0,0.0
thursday |Thursday,2014100508,6498,2,3.077870113881194E-4
thursday |Thursday,2014100819,4300,2,4.6511627906976747E-4
thursday |Thursday,2014100507,16911,0,0.0
thursday |Thursday,2014100403,6749,1,1.481700992739665E-4
thursday |Thursday,2014100506,11836,0,0.0
thursday |Thursday,2014100402,6613,2,3.0243459851807047E-4
thursday |Thursday,2014100505,6487,0,0.0
thursday |Thursday,2014100401,4570,1,2.188183807439825E-4
thursday |Thursday,2014100504,3861,1,2.59000259000259E-4
thursday |Thursday,2014100400,5285,1,1.892147587511826E-4
thursday |Thursday,2014100503,4540,1,2.2026431718061675E-4
thursday |Thursday,2014100709,5572,5,8.973438621679827E-4
thursday |Thursday,2014100407,7111,2,2.812543945999156E-4
thursday |Thursday,2014100406,10763,1,9.2910898448388E-5
thursday |Thursday,2014100501,6148,0,0.0
thursday |Thursday,2014100405,10366,0,0.0
thursday |Thursday,2014100500,11540,0,0.0
thursday |Thursday,2014100404,3086,0,0.0
thursday |Thursday,2014100409,9932,3,3.0205396697543293E-4
thursday |Thursday,2014100408,10458,1,9.562057754828839E-5
thursday |Thursday,2014100903,4141,0,0.0
thursday |Thursday,2014100613,12260,8,6.525285481239804E-4
thursday |Thursday,2014100904,4854,1,2.0601565718994644E-4
thursday |Thursday,2014100614,10247,9,8.783058456133503E-4
thursday |Thursday,2014100905,7777,0,0.0
thursday |Thursday,2014100615,8801,8,9.08987615043745E-4
thursday |Thursday,2014100710,7431,9,0.0012111425111021397
thursday |Thursday,2014100906,3505,11,0.003138373751783167
thursday |Thursday,2014100616,10833,5,4.615526631588664E-4
thursday |Thursday,2014100711,13474,9,6.679530948493394E-4
thursday |Thursday,2014100617,11523,13,0.0011281784257571813
thursday |Thursday,2014100900,3864,3,7.763975155279503E-4
thursday |Thursday,2014100618,10834,5,4.6151006091932806E-4
thursday |Thursday,2014100901,3052,1,3.27653997378768E-4
thursday |Thursday,2014100619,10472,5,4.774637127578304E-4
thursday |Thursday,2014100902,4916,3,6.102522375915378E-4
thursday |Thursday,2014100716,9756,2,2.050020500205002E-4
thursday |Thursday,2014100800,3418,2,5.851375073142189E-4
thursday |Thursday,2014100717,12018,4,3.328340822100183E-4
thursday |Thursday,2014100801,4912,1,2.0358306188925082E-4
thursday |Thursday,2014100718,9824,5,5.08957654723127E-4
thursday |Thursday,2014100802,4582,1,2.1824530772588389E-4
thursday |Thursday,2014100719,8904,11,0.0012353998203054807
thursday |Thursday,2014100803,4750,0,0.0
thursday |Thursday,2014100712,10146,7,6.899270648531441E-4
thursday |Thursday,2014100804,8238,0,0.0
thursday |Thursday,2014100610,8565,2,2.335084646818447E-4
thursday |Thursday,2014100713,7382,7,9.48252506095909E-4
thursday |Thursday,2014100805,6904,0,0.0
thursday |Thursday,2014100611,8676,2,2.305209774089442E-4
