protester |protesters |protester |Protesters,2014100606,4334,0,0.0
protester |protesters |protester |Protesters,2014100607,6194,0,0.0
protester |protesters |protester |Protesters,2014100707,4802,0,0.0
protester |protesters |protester |Protesters,2014100813,7061,0,0.0
protester |protesters |protester |Protesters,2014100708,5400,2,3.7037037037037035E-4
protester |protesters |protester |Protesters,2014100814,6011,2,3.3272334054233906E-4
protester |protesters |protester |Protesters,2014100705,2740,0,0.0
protester |protesters |protester |Protesters,2014100811,6604,0,0.0
protester |protesters |protester |Protesters,2014100706,3398,0,0.0
protester |protesters |protester |Protesters,2014100812,5896,0,0.0
protester |protesters |protester |Protesters,2014100817,6743,0,0.0
protester |protesters |protester |Protesters,2014100600,15771,5,3.170376006594382E-4
protester |protesters |protester |Protesters,2014100703,5792,0,0.0
protester |protesters |protester |Protesters,2014100818,7400,1,1.3513513513513514E-4
protester |protesters |protester |Protesters,2014100601,8669,2,2.3070711731456916E-4
protester |protesters |protester |Protesters,2014100704,3010,0,0.0
protester |protesters |protester |Protesters,2014100815,5628,0,0.0
protester |protesters |protester |Protesters,2014100701,13455,0,0.0
protester |protesters |protester |Protesters,2014100816,7857,5,6.363752068219422E-4
protester |protesters |protester |Protesters,2014100702,8524,0,0.0
protester |protesters |protester |Protesters,2014100509,9287,2,2.153547970281038E-4
protester |protesters |protester |Protesters,2014100508,6498,5,7.694675284702986E-4
protester |protesters |protester |Protesters,2014100819,4300,0,0.0
protester |protesters |protester |Protesters,2014100507,16911,0,0.0
protester |protesters |protester |Protesters,2014100403,6749,0,0.0
protester |protesters |protester |Protesters,2014100506,11836,0,0.0
protester |protesters |protester |Protesters,2014100402,6613,2,3.0243459851807047E-4
protester |protesters |protester |Protesters,2014100505,6487,0,0.0
protester |protesters |protester |Protesters,2014100401,4570,2,4.37636761487965E-4
protester |protesters |protester |Protesters,2014100504,3861,0,0.0
protester |protesters |protester |Protesters,2014100400,5285,2,3.784295175023652E-4
protester |protesters |protester |Protesters,2014100503,4540,0,0.0
protester |protesters |protester |Protesters,2014100709,5572,6,0.0010768126346015793
protester |protesters |protester |Protesters,2014100407,7111,0,0.0
protester |protesters |protester |Protesters,2014100406,10763,0,0.0
protester |protesters |protester |Protesters,2014100501,6148,0,0.0
protester |protesters |protester |Protesters,2014100405,10366,0,0.0
protester |protesters |protester |Protesters,2014100500,11540,1,8.665511265164645E-5
protester |protesters |protester |Protesters,2014100404,3086,0,0.0
protester |protesters |protester |Protesters,2014100409,9932,11,0.0011075312122432541
protester |protesters |protester |Protesters,2014100408,10458,10,9.562057754828839E-4
protester |protesters |protester |Protesters,2014100903,4141,0,0.0
protester |protesters |protester |Protesters,2014100613,12260,1,8.156606851549755E-5
protester |protesters |protester |Protesters,2014100904,4854,0,0.0
protester |protesters |protester |Protesters,2014100614,10247,1,9.758953840148337E-5
protester |protesters |protester |Protesters,2014100905,7777,2,2.5716857400025716E-4
protester |protesters |protester |Protesters,2014100615,8801,3,3.408703556414044E-4
protester |protesters |protester |Protesters,2014100710,7431,4,5.382855604898399E-4
protester |protesters |protester |Protesters,2014100906,3505,0,0.0
protester |protesters |protester |Protesters,2014100616,10833,0,0.0
protester |protesters |protester |Protesters,2014100711,13474,1,7.421701053881549E-5
protester |protesters |protester |Protesters,2014100617,11523,0,0.0
protester |protesters |protester |Protesters,2014100900,3864,1,2.587991718426501E-4
protester |protesters |protester |Protesters,2014100618,10834,0,0.0
protester |protesters |protester |Protesters,2014100901,3052,0,0.0
protester |protesters |protester |Protesters,2014100619,10472,1,9.549274255156608E-5
protester |protesters |protester |Protesters,2014100902,4916,1,2.034174125305126E-4
protester |protesters |protester |Protesters,2014100716,9756,1,1.025010250102501E-4
protester |protesters |protester |Protesters,2014100800,3418,0,0.0
protester |protesters |protester |Protesters,2014100717,12018,2,1.6641704110500916E-4
protester |protesters |protester |Protesters,2014100801,4912,0,0.0
protester |protesters |protester |Protesters,2014100718,9824,0,0.0
protester |protesters |protester |Protesters,2014100802,4582,0,0.0
protester |protesters |protester |Protesters,2014100719,8904,4,4.492362982929021E-4
protester |protesters |protester |Protesters,2014100803,4750,0,0.0
protester |protesters |protester |Protesters,2014100712,10146,0,0.0
protester |protesters |protester |Protesters,2014100804,8238,0,0.0
protester |protesters |protester |Protesters,2014100610,8565,1,1.1675423234092235E-4
protester |protesters |protester |Protesters,2014100713,7382,0,0.0
protester |protesters |protester |Protesters,2014100805,6904,0,0.0
protester |protesters |protester |Protesters,2014100611,8676,1,1.152604887044721E-4
protester |protesters |protester |Protesters,2014100714,9294,0,0.0
protester |protesters |protester |Protesters,2014100806,7696,1,1.2993762993762994E-4
protester |protesters |protester |Protesters,2014100612,7761,0,0.0
protester |protesters |protester |Protesters,2014100715,8494,0,0.0
protester |protesters |protester |Protesters,2014100807,6298,2,3.1756113051762465E-4
protester |protesters |protester |Protesters,2014100519,13547,3,2.2145124381781945E-4
protester |protesters |protester |Protesters,2014100809,5933,0,0.0
protester |protesters |protester |Protesters,2014100518,12589,2,1.588688537612201E-4
protester |protesters |protester |Protesters,2014100808,7916,0,0.0
protester |protesters |protester |Protesters,2014100410,8297,6,7.231529468482585E-4
protester |protesters |protester |Protesters,2014100412,8252,4,4.847309743092584E-4
protester |protesters |protester |Protesters,2014100515,6526,2,3.0646644192460924E-4
protester |protesters |protester |Protesters,2014100411,8736,0,0.0
protester |protesters |protester |Protesters,2014100514,7337,0,0.0
protester |protesters |protester |Protesters,2014100414,8029,0,0.0
protester |protesters |protester |Protesters,2014100517,16635,0,0.0
protester |protesters |protester |Protesters,2014100413,7649,1,1.3073604392731077E-4
protester |protesters |protester |Protesters,2014100516,7164,0,0.0
protester |protesters |protester |Protesters,2014100416,8535,3,3.51493848857645E-4
protester |protesters |protester |Protesters,2014100511,8203,0,0.0
