bank |Bank |Banks |bank |banks,2014100915,1000,0,0.0
bank |Bank |Banks |bank |banks,2014100603,9384,2,2.1312872975277067E-4
bank |Bank |Banks |bank |banks,2014100912,2545,1,3.929273084479371E-4
bank |Bank |Banks |bank |banks,2014100608,13680,3,2.192982456140351E-4
bank |Bank |Banks |bank |banks,2014100913,6771,4,5.907546891153448E-4
bank |Bank |Banks |bank |banks,2014100609,13287,4,3.0104613532023783E-4
bank |Bank |Banks |bank |banks,2014100810,6053,11,0.0018172806872625144
bank |Bank |Banks |bank |banks,2014100606,4334,0,0.0
bank |Bank |Banks |bank |banks,2014100607,6194,4,6.457862447529867E-4
bank |Bank |Banks |bank |banks,2014100707,4802,1,2.0824656393169514E-4
bank |Bank |Banks |bank |banks,2014100813,7061,1,1.41622999575131E-4
bank |Bank |Banks |bank |banks,2014100708,5400,1,1.8518518518518518E-4
bank |Bank |Banks |bank |banks,2014100814,6011,2,3.3272334054233906E-4
bank |Bank |Banks |bank |banks,2014100705,2740,2,7.2992700729927E-4
bank |Bank |Banks |bank |banks,2014100811,6604,4,6.056935190793458E-4
bank |Bank |Banks |bank |banks,2014100706,3398,1,2.942907592701589E-4
bank |Bank |Banks |bank |banks,2014100812,5896,3,5.088195386702849E-4
bank |Bank |Banks |bank |banks,2014100817,6743,10,0.001483019427554501
bank |Bank |Banks |bank |banks,2014100600,15771,1,6.340752013188764E-5
bank |Bank |Banks |bank |banks,2014100703,5792,0,0.0
bank |Bank |Banks |bank |banks,2014100818,7400,4,5.405405405405405E-4
bank |Bank |Banks |bank |banks,2014100601,8669,0,0.0
bank |Bank |Banks |bank |banks,2014100704,3010,0,0.0
bank |Bank |Banks |bank |banks,2014100815,5628,2,3.5536602700781805E-4
bank |Bank |Banks |bank |banks,2014100701,13455,3,2.229654403567447E-4
bank |Bank |Banks |bank |banks,2014100816,7857,4,5.091001654575538E-4
bank |Bank |Banks |bank |banks,2014100702,8524,0,0.0
bank |Bank |Banks |bank |banks,2014100509,9287,1,1.076773985140519E-4
bank |Bank |Banks |bank |banks,2014100508,6498,0,0.0
bank |Bank |Banks |bank |banks,2014100819,4300,2,4.6511627906976747E-4
bank |Bank |Banks |bank |banks,2014100507,16911,0,0.0
bank |Bank |Banks |bank |banks,2014100403,6749,2,2.96340198547933E-4
bank |Bank |Banks |bank |banks,2014100506,11836,0,0.0
bank |Bank |Banks |bank |banks,2014100402,6613,6,9.073037955542114E-4
bank |Bank |Banks |bank |banks,2014100505,6487,0,0.0
bank |Bank |Banks |bank |banks,2014100401,4570,1,2.188183807439825E-4
bank |Bank |Banks |bank |banks,2014100504,3861,0,0.0
bank |Bank |Banks |bank |banks,2014100400,5285,4,7.568590350047304E-4
bank |Bank |Banks |bank |banks,2014100503,4540,0,0.0
bank |Bank |Banks |bank |banks,2014100709,5572,1,1.7946877243359656E-4
bank |Bank |Banks |bank |banks,2014100407,7111,0,0.0
bank |Bank |Banks |bank |banks,2014100406,10763,1,9.2910898448388E-5
bank |Bank |Banks |bank |banks,2014100501,6148,1,1.6265452179570593E-4
bank |Bank |Banks |bank |banks,2014100405,10366,0,0.0
bank |Bank |Banks |bank |banks,2014100500,11540,1,8.665511265164645E-5
bank |Bank |Banks |bank |banks,2014100404,3086,0,0.0
bank |Bank |Banks |bank |banks,2014100409,9932,5,5.034232782923883E-4
bank |Bank |Banks |bank |banks,2014100408,10458,1,9.562057754828839E-5
bank |Bank |Banks |bank |banks,2014100903,4141,1,2.414875633904854E-4
bank |Bank |Banks |bank |banks,2014100613,12260,7,5.709624796084829E-4
bank |Bank |Banks |bank |banks,2014100904,4854,0,0.0
bank |Bank |Banks |bank |banks,2014100614,10247,7,6.831267688103836E-4
bank |Bank |Banks |bank |banks,2014100905,7777,0,0.0
bank |Bank |Banks |bank |banks,2014100615,8801,10,0.0011362345188046814
bank |Bank |Banks |bank |banks,2014100710,7431,9,0.0012111425111021397
bank |Bank |Banks |bank |banks,2014100906,3505,1,2.853067047075606E-4
bank |Bank |Banks |bank |banks,2014100616,10833,9,8.307947936859596E-4
bank |Bank |Banks |bank |banks,2014100711,13474,9,6.679530948493394E-4
bank |Bank |Banks |bank |banks,2014100617,11523,7,6.074806907923284E-4
bank |Bank |Banks |bank |banks,2014100900,3864,2,5.175983436853002E-4
bank |Bank |Banks |bank |banks,2014100618,10834,2,1.8460402436773122E-4
bank |Bank |Banks |bank |banks,2014100901,3052,3,9.82961992136304E-4
bank |Bank |Banks |bank |banks,2014100619,10472,4,3.819709702062643E-4
bank |Bank |Banks |bank |banks,2014100902,4916,1,2.034174125305126E-4
bank |Bank |Banks |bank |banks,2014100716,9756,22,0.002255022550225502
bank |Bank |Banks |bank |banks,2014100800,3418,3,8.777062609713282E-4
bank |Bank |Banks |bank |banks,2014100717,12018,18,0.0014977533699450823
bank |Bank |Banks |bank |banks,2014100801,4912,1,2.0358306188925082E-4
bank |Bank |Banks |bank |banks,2014100718,9824,14,0.0014250814332247557
bank |Bank |Banks |bank |banks,2014100802,4582,1,2.1824530772588389E-4
bank |Bank |Banks |bank |banks,2014100719,8904,8,8.984725965858042E-4
bank |Bank |Banks |bank |banks,2014100803,4750,2,4.210526315789474E-4
bank |Bank |Banks |bank |banks,2014100712,10146,5,4.928050463236743E-4
bank |Bank |Banks |bank |banks,2014100804,8238,0,0.0
bank |Bank |Banks |bank |banks,2014100610,8565,8,9.340338587273788E-4
bank |Bank |Banks |bank |banks,2014100713,7382,7,9.48252506095909E-4
bank |Bank |Banks |bank |banks,2014100805,6904,1,1.4484356894553882E-4
bank |Bank |Banks |bank |banks,2014100611,8676,5,5.763024435223605E-4
bank |Bank |Banks |bank |banks,2014100714,9294,21,0.0022595222724338285
bank |Bank |Banks |bank |banks,2014100806,7696,1,1.2993762993762994E-4
bank |Bank |Banks |bank |banks,2014100612,7761,5,6.442468754026543E-4
bank |Bank |Banks |bank |banks,2014100715,8494,12,0.0014127619496114904
bank |Bank |Banks |bank |banks,2014100807,6298,0,0.0
bank |Bank |Banks |bank |banks,2014100519,13547,6,4.429024876356389E-4
bank |Bank |Banks |bank |banks,2014100809,5933,0,0.0
bank |Bank |Banks |bank |banks,2014100518,12589,3,2.3830328064183018E-4
bank |Bank |Banks |bank |banks,2014100808,7916,4,5.053057099545225E-4
bank |Bank |Banks |bank |banks,2014100410,8297,8,9.642039291310112E-4
bank |Bank |Banks |bank |banks,2014100412,8252,3,3.6354823073194375E-4
bank |Bank |Banks |bank |banks,2014100515,6526,5,7.661661048115232E-4
bank |Bank |Banks |bank |banks,2014100411,8736,3,3.4340659340659343E-4
bank |Bank |Banks |bank |banks,2014100514,7337,0,0.0
bank |Bank |Banks |bank |banks,2014100414,8029,5,6.227425582264292E-4
bank |Bank |Banks |bank |banks,2014100517,16635,5,3.0057108506161706E-4
bank |Bank |Banks |bank |banks,2014100413,7649,2,2.6147208785462153E-4
bank |Bank |Banks |bank |banks,2014100516,7164,0,0.0
bank |Bank |Banks |bank |banks,2014100416,8535,5,5.858230814294083E-4
bank |Bank |Banks |bank |banks,2014100511,8203,5,6.095330976472023E-4
bank |Bank |Banks |bank |banks,2014100415,9288,4,4.306632213608958E-4
bank |Bank |Banks |bank |banks,2014100510,7389,2,2.706726214643389E-4
bank |Bank |Banks |bank |banks,2014100418,8794,6,6.822833750284285E-4
bank |Bank |Banks |bank |banks,2014100513,8653,2,2.3113371085172773E-4
bank |Bank |Banks |bank |banks,2014100417,9001,1,1.1109876680368848E-4
bank |Bank |Banks |bank |banks,2014100512,7658,1,1.3058239749281798E-4
bank |Bank |Banks |bank |banks,2014100908,14247,3,2.105706464518846E-4
bank |Bank |Banks |bank |banks,2014100907,7751,6,7.740936653335053E-4
bank |Bank |Banks |bank |banks,2014100419,8630,6,6.952491309385864E-4
bank |Bank |Banks |bank |banks,2014100909,1000,0,0.0
bank |Bank |Banks |bank |banks,2014100721,11447,5,4.367956669869835E-4
bank |Bank |Banks |bank |banks,2014100722,8294,7,8.439836026042923E-4
bank |Bank |Banks |bank |banks,2014100720,10198,11,0.0010786428711512062
bank |Bank |Banks |bank |banks,2014100723,5300,4,7.547169811320754E-4
bank |Bank |Banks |bank |banks,2014100520,14801,4,2.7025200999932435E-4
bank |Bank |Banks |bank |banks,2014100523,12605,1,7.933359777865926E-5
bank |Bank |Banks |bank |banks,2014100522,10915,3,2.7485112230874945E-4
bank |Bank |Banks |bank |banks,2014100521,14363,3,2.0887001322843416E-4
bank |Bank |Banks |bank |banks,2014100623,8800,1,1.1363636363636364E-4
bank |Bank |Banks |bank |banks,2014100622,9000,4,4.4444444444444447E-4
bank |Bank |Banks |bank |banks,2014100621,9007,6,6.661485511269013E-4
bank |Bank |Banks |bank |banks,2014100620,8998,2,2.222716159146477E-4
bank |Bank |Banks |bank |banks,2014093011,9741,2,2.053177291859152E-4
bank |Bank |Banks |bank |banks,2014093012,11191,10,8.935751943526047E-4
bank |Bank |Banks |bank |banks,2014093013,5267,2,3.7972280235428136E-4
bank |Bank |Banks |bank |banks,2014093017,3899,2,5.129520389843549E-4
bank |Bank |Banks |bank |banks,2014093018,99,0,0.0
bank |Bank |Banks |bank |banks,2014093019,8564,2,2.3353573096683791E-4
