australia |Australia,2014100505,6487,7,0.0010790812394018807
australia |Australia,2014100401,4570,11,0.0024070021881838076
australia |Australia,2014100504,3861,5,0.001295001295001295
australia |Australia,2014100400,5285,12,0.002270577105014191
australia |Australia,2014100503,4540,17,0.0037444933920704844
australia |Australia,2014100709,5572,28,0.005025125628140704
australia |Australia,2014100407,7111,23,0.0032344255378990295
australia |Australia,2014100406,10763,15,0.00139366347672582
australia |Australia,2014100501,6148,25,0.004066363044892648
australia |Australia,2014100405,10366,6,5.788153579008296E-4
australia |Australia,2014100500,11540,336,0.029116117850953208
australia |Australia,2014100404,3086,7,0.002268308489954634
australia |Australia,2014100409,9932,38,0.0038260169150221507
australia |Australia,2014100408,10458,17,0.0016255498183209026
australia |Australia,2014100903,4141,14,0.0033808258874667954
australia |Australia,2014100613,12260,46,0.0037520391517128875
australia |Australia,2014100904,4854,2,4.1203131437989287E-4
australia |Australia,2014100614,10247,86,0.008392700302527568
australia |Australia,2014100905,7777,5,6.429214350006429E-4
australia |Australia,2014100615,8801,63,0.007158277468469492
australia |Australia,2014100710,7431,51,0.006863140896245458
australia |Australia,2014100906,3505,23,0.006562054208273894
australia |Australia,2014100616,10833,67,0.0061848056863288104
australia |Australia,2014100711,13474,64,0.0047498886744841914
australia |Australia,2014100617,11523,58,0.005033411437993578
australia |Australia,2014100900,3864,20,0.005175983436853002
australia |Australia,2014100618,10834,78,0.0071995569503415175
australia |Australia,2014100901,3052,9,0.002948885976408912
australia |Australia,2014100619,10472,186,0.01776165011459129
australia |Australia,2014100902,4916,5,0.0010170870626525631
australia |Australia,2014100716,9756,143,0.014657646576465764
australia |Australia,2014100800,3418,26,0.0076067875950848445
australia |Australia,2014100717,12018,61,0.005075719753702779
australia |Australia,2014100801,4912,6,0.0012214983713355048
australia |Australia,2014100718,9824,100,0.01017915309446254
australia |Australia,2014100802,4582,9,0.001964207769532955
australia |Australia,2014100719,8904,78,0.00876010781671159
australia |Australia,2014100803,4750,8,0.0016842105263157896
australia |Australia,2014100712,10146,57,0.0056179775280898875
australia |Australia,2014100804,8238,4,4.8555474629764507E-4
australia |Australia,2014100610,8565,33,0.003852889667250438
australia |Australia,2014100713,7382,47,0.006366838255215388
australia |Australia,2014100805,6904,13,0.0018829663962920047
australia |Australia,2014100611,8676,47,0.005417242969110189
australia |Australia,2014100714,9294,57,0.006132989025177534
australia |Australia,2014100806,7696,16,0.002079002079002079
australia |Australia,2014100612,7761,37,0.004767426877979642
australia |Australia,2014100715,8494,30,0.0035319048740287263
