court |courts |court,2014100402,6613,1,1.5121729925903524E-4
court |courts |court,2014100505,6487,0,0.0
court |courts |court,2014100401,4570,1,2.188183807439825E-4
court |courts |court,2014100504,3861,0,0.0
court |courts |court,2014100400,5285,4,7.568590350047304E-4
court |courts |court,2014100503,4540,0,0.0
court |courts |court,2014100709,5572,42,0.007537688442211055
court |courts |court,2014100407,7111,0,0.0
court |courts |court,2014100406,10763,3,2.78732695345164E-4
court |courts |court,2014100501,6148,1,1.6265452179570593E-4
court |courts |court,2014100405,10366,0,0.0
court |courts |court,2014100500,11540,1,8.665511265164645E-5
court |courts |court,2014100404,3086,0,0.0
court |courts |court,2014100409,9932,2,2.013693113169553E-4
court |courts |court,2014100408,10458,6,5.737234652897303E-4
court |courts |court,2014100903,4141,3,7.244626901714562E-4
court |courts |court,2014100613,12260,3,2.4469820554649265E-4
court |courts |court,2014100904,4854,1,2.0601565718994644E-4
court |courts |court,2014100614,10247,10,9.758953840148336E-4
court |courts |court,2014100905,7777,0,0.0
court |courts |court,2014100615,8801,12,0.0013634814225656176
court |courts |court,2014100710,7431,17,0.0022877136320818194
court |courts |court,2014100906,3505,1,2.853067047075606E-4
court |courts |court,2014100616,10833,13,0.0012000369242130527
court |courts |court,2014100711,13474,61,0.004527237642867745
court |courts |court,2014100617,11523,4,3.4713182330990195E-4
court |courts |court,2014100900,3864,6,0.0015527950310559005
court |courts |court,2014100618,10834,8,7.384160974709249E-4
court |courts |court,2014100901,3052,2,6.55307994757536E-4
court |courts |court,2014100619,10472,11,0.0010504201680672268
court |courts |court,2014100902,4916,0,0.0
court |courts |court,2014100716,9756,14,0.0014350143501435015
court |courts |court,2014100800,3418,9,0.0026331187829139848
court |courts |court,2014100717,12018,16,0.0013313363288400732
court |courts |court,2014100801,4912,0,0.0
court |courts |court,2014100718,9824,19,0.0019340390879478827
court |courts |court,2014100802,4582,3,6.547359231776517E-4
court |courts |court,2014100719,8904,16,0.0017969451931716084
court |courts |court,2014100803,4750,1,2.105263157894737E-4
court |courts |court,2014100712,10146,39,0.00384387936132466
court |courts |court,2014100804,8238,2,2.4277737314882253E-4
court |courts |court,2014100610,8565,2,2.335084646818447E-4
court |courts |court,2014100713,7382,21,0.002844757518287727
court |courts |court,2014100805,6904,0,0.0
court |courts |court,2014100611,8676,4,4.610419548178884E-4
court |courts |court,2014100714,9294,17,0.0018291370776845276
court |courts |court,2014100806,7696,0,0.0
court |courts |court,2014100612,7761,2,2.5769875016106174E-4
court |courts |court,2014100715,8494,7,8.241111372733694E-4
court |courts |court,2014100807,6298,7,0.0011114639568116863
court |courts |court,2014100519,13547,1,7.381708127260648E-5
court |courts |court,2014100809,5933,7,0.0011798415641328165
court |courts |court,2014100518,12589,1,7.943442688061006E-5
court |courts |court,2014100808,7916,5,6.316321374431531E-4
court |courts |court,2014100410,8297,3,3.615764734241292E-4
court |courts |court,2014100412,8252,4,4.847309743092584E-4
court |courts |court,2014100515,6526,2,3.0646644192460924E-4
court |courts |court,2014100411,8736,2,2.2893772893772894E-4
court |courts |court,2014100514,7337,4,5.451819544773068E-4
court |courts |court,2014100414,8029,5,6.227425582264292E-4
court |courts |court,2014100517,16635,8,4.809137360985873E-4
court |courts |court,2014100413,7649,16,0.0020917767028369723
court |courts |court,2014100516,7164,2,2.7917364600781687E-4
court |courts |court,2014100416,8535,5,5.858230814294083E-4
court |courts |court,2014100511,8203,5,6.095330976472023E-4
court |courts |court,2014100415,9288,3,3.2299741602067185E-4
court |courts |court,2014100510,7389,3,4.060089321965083E-4
court |courts |court,2014100418,8794,5,5.685694791903571E-4
