nurse |nurses |nurse |Nurses,2014100608,13680,1,7.309941520467836E-5
nurse |nurses |nurse |Nurses,2014100913,6771,4,5.907546891153448E-4
nurse |nurses |nurse |Nurses,2014100609,13287,1,7.526153383005946E-5
nurse |nurses |nurse |Nurses,2014100810,6053,3,4.956220056170494E-4
nurse |nurses |nurse |Nurses,2014100606,4334,0,0.0
nurse |nurses |nurse |Nurses,2014100607,6194,0,0.0
nurse |nurses |nurse |Nurses,2014100707,4802,4,8.329862557267805E-4
nurse |nurses |nurse |Nurses,2014100813,7061,3,4.24868998725393E-4
nurse |nurses |nurse |Nurses,2014100708,5400,4,7.407407407407407E-4
nurse |nurses |nurse |Nurses,2014100814,6011,4,6.654466810846781E-4
nurse |nurses |nurse |Nurses,2014100705,2740,2,7.2992700729927E-4
nurse |nurses |nurse |Nurses,2014100811,6604,4,6.056935190793458E-4
nurse |nurses |nurse |Nurses,2014100706,3398,0,0.0
nurse |nurses |nurse |Nurses,2014100812,5896,0,0.0
nurse |nurses |nurse |Nurses,2014100817,6743,2,2.9660388551090017E-4
nurse |nurses |nurse |Nurses,2014100600,15771,0,0.0
nurse |nurses |nurse |Nurses,2014100703,5792,0,0.0
nurse |nurses |nurse |Nurses,2014100818,7400,1,1.3513513513513514E-4
nurse |nurses |nurse |Nurses,2014100601,8669,0,0.0
nurse |nurses |nurse |Nurses,2014100704,3010,0,0.0
nurse |nurses |nurse |Nurses,2014100815,5628,0,0.0
nurse |nurses |nurse |Nurses,2014100701,13455,1,7.432181345224824E-5
nurse |nurses |nurse |Nurses,2014100816,7857,1,1.2727504136438844E-4
nurse |nurses |nurse |Nurses,2014100702,8524,0,0.0
nurse |nurses |nurse |Nurses,2014100509,9287,2,2.153547970281038E-4
nurse |nurses |nurse |Nurses,2014100508,6498,1,1.538935056940597E-4
nurse |nurses |nurse |Nurses,2014100819,4300,3,6.976744186046512E-4
nurse |nurses |nurse |Nurses,2014100507,16911,0,0.0
nurse |nurses |nurse |Nurses,2014100403,6749,0,0.0
nurse |nurses |nurse |Nurses,2014100506,11836,0,0.0
nurse |nurses |nurse |Nurses,2014100402,6613,1,1.5121729925903524E-4
nurse |nurses |nurse |Nurses,2014100505,6487,0,0.0
nurse |nurses |nurse |Nurses,2014100401,4570,0,0.0
nurse |nurses |nurse |Nurses,2014100504,3861,1,2.59000259000259E-4
nurse |nurses |nurse |Nurses,2014100400,5285,1,1.892147587511826E-4
nurse |nurses |nurse |Nurses,2014100503,4540,0,0.0
nurse |nurses |nurse |Nurses,2014100709,5572,2,3.589375448671931E-4
nurse |nurses |nurse |Nurses,2014100407,7111,1,1.406271972999578E-4
nurse |nurses |nurse |Nurses,2014100406,10763,1,9.2910898448388E-5
nurse |nurses |nurse |Nurses,2014100501,6148,1,1.6265452179570593E-4
nurse |nurses |nurse |Nurses,2014100405,10366,0,0.0
nurse |nurses |nurse |Nurses,2014100500,11540,1,8.665511265164645E-5
nurse |nurses |nurse |Nurses,2014100404,3086,0,0.0
nurse |nurses |nurse |Nurses,2014100409,9932,6,6.041079339508659E-4
nurse |nurses |nurse |Nurses,2014100408,10458,0,0.0
nurse |nurses |nurse |Nurses,2014100903,4141,0,0.0
nurse |nurses |nurse |Nurses,2014100613,12260,1,8.156606851549755E-5
nurse |nurses |nurse |Nurses,2014100904,4854,0,0.0
nurse |nurses |nurse |Nurses,2014100614,10247,3,2.927686152044501E-4
nurse |nurses |nurse |Nurses,2014100905,7777,0,0.0
nurse |nurses |nurse |Nurses,2014100615,8801,3,3.408703556414044E-4
nurse |nurses |nurse |Nurses,2014100710,7431,2,2.6914278024491994E-4
nurse |nurses |nurse |Nurses,2014100906,3505,6,0.0017118402282453639
nurse |nurses |nurse |Nurses,2014100616,10833,0,0.0
nurse |nurses |nurse |Nurses,2014100711,13474,1,7.421701053881549E-5
nurse |nurses |nurse |Nurses,2014100617,11523,1,8.678295582747549E-5
nurse |nurses |nurse |Nurses,2014100900,3864,0,0.0
nurse |nurses |nurse |Nurses,2014100618,10834,0,0.0
nurse |nurses |nurse |Nurses,2014100901,3052,1,3.27653997378768E-4
nurse |nurses |nurse |Nurses,2014100619,10472,8,7.639419404125286E-4
nurse |nurses |nurse |Nurses,2014100902,4916,2,4.068348250610252E-4
nurse |nurses |nurse |Nurses,2014100716,9756,2,2.050020500205002E-4
nurse |nurses |nurse |Nurses,2014100800,3418,2,5.851375073142189E-4
nurse |nurses |nurse |Nurses,2014100717,12018,1,8.320852055250458E-5
nurse |nurses |nurse |Nurses,2014100801,4912,1,2.0358306188925082E-4
nurse |nurses |nurse |Nurses,2014100718,9824,0,0.0
nurse |nurses |nurse |Nurses,2014100802,4582,1,2.1824530772588389E-4
nurse |nurses |nurse |Nurses,2014100719,8904,4,4.492362982929021E-4
nurse |nurses |nurse |Nurses,2014100803,4750,0,0.0
nurse |nurses |nurse |Nurses,2014100712,10146,2,1.9712201852946975E-4
nurse |nurses |nurse |Nurses,2014100804,8238,1,1.2138868657441127E-4
nurse |nurses |nurse |Nurses,2014100610,8565,1,1.1675423234092235E-4
nurse |nurses |nurse |Nurses,2014100713,7382,1,1.35464643727987E-4
nurse |nurses |nurse |Nurses,2014100805,6904,0,0.0
nurse |nurses |nurse |Nurses,2014100611,8676,0,0.0
nurse |nurses |nurse |Nurses,2014100714,9294,1,1.0759629868732516E-4
nurse |nurses |nurse |Nurses,2014100806,7696,0,0.0
nurse |nurses |nurse |Nurses,2014100612,7761,4,5.153975003221235E-4
nurse |nurses |nurse |Nurses,2014100715,8494,1,1.177301624676242E-4
nurse |nurses |nurse |Nurses,2014100807,6298,1,1.5878056525881233E-4
nurse |nurses |nurse |Nurses,2014100519,13547,0,0.0
nurse |nurses |nurse |Nurses,2014100809,5933,0,0.0
nurse |nurses |nurse |Nurses,2014100518,12589,0,0.0
nurse |nurses |nurse |Nurses,2014100808,7916,1,1.2632642748863063E-4
nurse |nurses |nurse |Nurses,2014100410,8297,1,1.205254911413764E-4
nurse |nurses |nurse |Nurses,2014100412,8252,1,1.211827435773146E-4
nurse |nurses |nurse |Nurses,2014100515,6526,0,0.0
nurse |nurses |nurse |Nurses,2014100411,8736,2,2.2893772893772894E-4
nurse |nurses |nurse |Nurses,2014100514,7337,0,0.0
nurse |nurses |nurse |Nurses,2014100414,8029,1,1.2454851164528583E-4
nurse |nurses |nurse |Nurses,2014100517,16635,0,0.0
nurse |nurses |nurse |Nurses,2014100413,7649,1,1.3073604392731077E-4
nurse |nurses |nurse |Nurses,2014100516,7164,1,1.3958682300390843E-4
nurse |nurses |nurse |Nurses,2014100416,8535,0,0.0
nurse |nurses |nurse |Nurses,2014100511,8203,1,1.2190661952944045E-4
nurse |nurses |nurse |Nurses,2014100415,9288,1,1.0766580534022394E-4
nurse |nurses |nurse |Nurses,2014100510,7389,0,0.0
nurse |nurses |nurse |Nurses,2014100418,8794,0,0.0
nurse |nurses |nurse |Nurses,2014100513,8653,1,1.1556685542586386E-4
nurse |nurses |nurse |Nurses,2014100417,9001,1,1.1109876680368848E-4
nurse |nurses |nurse |Nurses,2014100512,7658,0,0.0
nurse |nurses |nurse |Nurses,2014100908,14247,7,4.913315083877308E-4
nurse |nurses |nurse |Nurses,2014100907,7751,5,6.450780544445878E-4
nurse |nurses |nurse |Nurses,2014100419,8630,0,0.0
nurse |nurses |nurse |Nurses,2014100909,1000,0,0.0
nurse |nurses |nurse |Nurses,2014100721,11447,3,2.620774001921901E-4
nurse |nurses |nurse |Nurses,2014100722,8294,1,1.2056908608632747E-4
nurse |nurses |nurse |Nurses,2014100720,10198,0,0.0
nurse |nurses |nurse |Nurses,2014100723,5300,1,1.8867924528301886E-4
nurse |nurses |nurse |Nurses,2014100520,14801,1,6.756300249983109E-5
nurse |nurses |nurse |Nurses,2014100523,12605,0,0.0
nurse |nurses |nurse |Nurses,2014100522,10915,1,9.161704076958314E-5
nurse |nurses |nurse |Nurses,2014100521,14363,0,0.0
nurse |nurses |nurse |Nurses,2014100623,8800,0,0.0
nurse |nurses |nurse |Nurses,2014100622,9000,4,4.4444444444444447E-4
nurse |nurses |nurse |Nurses,2014100621,9007,3,3.3307427556345063E-4
nurse |nurses |nurse |Nurses,2014100620,8998,3,3.3340742387197157E-4
nurse |nurses |nurse |Nurses,2014093011,9741,2,2.053177291859152E-4
nurse |nurses |nurse |Nurses,2014093012,11191,1,8.935751943526048E-5
nurse |nurses |nurse |Nurses,2014093013,5267,1,1.8986140117714068E-4
nurse |nurses |nurse |Nurses,2014093017,3899,0,0.0
nurse |nurses |nurse |Nurses,2014093018,99,0,0.0
nurse |nurses |nurse |Nurses,2014093019,8564,1,1.1676786548341896E-4
