turkish |Turkish,2014100505,6487,0,0.0
turkish |Turkish,2014100401,4570,5,0.0010940919037199124
turkish |Turkish,2014100504,3861,1,2.59000259000259E-4
turkish |Turkish,2014100400,5285,7,0.0013245033112582781
turkish |Turkish,2014100503,4540,0,0.0
turkish |Turkish,2014100709,5572,0,0.0
turkish |Turkish,2014100407,7111,0,0.0
turkish |Turkish,2014100406,10763,0,0.0
turkish |Turkish,2014100501,6148,0,0.0
turkish |Turkish,2014100405,10366,0,0.0
turkish |Turkish,2014100500,11540,1,8.665511265164645E-5
turkish |Turkish,2014100404,3086,0,0.0
turkish |Turkish,2014100409,9932,0,0.0
turkish |Turkish,2014100408,10458,1,9.562057754828839E-5
turkish |Turkish,2014100903,4141,0,0.0
turkish |Turkish,2014100613,12260,0,0.0
turkish |Turkish,2014100904,4854,0,0.0
turkish |Turkish,2014100614,10247,0,0.0
turkish |Turkish,2014100905,7777,0,0.0
turkish |Turkish,2014100615,8801,0,0.0
turkish |Turkish,2014100710,7431,0,0.0
turkish |Turkish,2014100906,3505,0,0.0
turkish |Turkish,2014100616,10833,0,0.0
turkish |Turkish,2014100711,13474,3,2.226510316164465E-4
turkish |Turkish,2014100617,11523,0,0.0
turkish |Turkish,2014100900,3864,0,0.0
turkish |Turkish,2014100618,10834,0,0.0
turkish |Turkish,2014100901,3052,0,0.0
turkish |Turkish,2014100619,10472,0,0.0
turkish |Turkish,2014100902,4916,0,0.0
turkish |Turkish,2014100716,9756,0,0.0
turkish |Turkish,2014100800,3418,1,2.925687536571094E-4
turkish |Turkish,2014100717,12018,0,0.0
turkish |Turkish,2014100801,4912,0,0.0
turkish |Turkish,2014100718,9824,1,1.0179153094462541E-4
turkish |Turkish,2014100802,4582,0,0.0
turkish |Turkish,2014100719,8904,0,0.0
turkish |Turkish,2014100803,4750,0,0.0
turkish |Turkish,2014100712,10146,2,1.9712201852946975E-4
turkish |Turkish,2014100804,8238,0,0.0
turkish |Turkish,2014100610,8565,0,0.0
turkish |Turkish,2014100713,7382,2,2.70929287455974E-4
turkish |Turkish,2014100805,6904,0,0.0
turkish |Turkish,2014100611,8676,1,1.152604887044721E-4
turkish |Turkish,2014100714,9294,1,1.0759629868732516E-4
turkish |Turkish,2014100806,7696,0,0.0
turkish |Turkish,2014100612,7761,0,0.0
turkish |Turkish,2014100715,8494,1,1.177301624676242E-4
turkish |Turkish,2014100807,6298,4,6.351222610352493E-4
turkish |Turkish,2014100519,13547,0,0.0
turkish |Turkish,2014100809,5933,0,0.0
turkish |Turkish,2014100518,12589,0,0.0
turkish |Turkish,2014100808,7916,0,0.0
turkish |Turkish,2014100410,8297,1,1.205254911413764E-4
turkish |Turkish,2014100412,8252,1,1.211827435773146E-4
turkish |Turkish,2014100515,6526,0,0.0
turkish |Turkish,2014100411,8736,0,0.0
turkish |Turkish,2014100514,7337,0,0.0
turkish |Turkish,2014100414,8029,0,0.0
turkish |Turkish,2014100517,16635,0,0.0
turkish |Turkish,2014100413,7649,2,2.6147208785462153E-4
turkish |Turkish,2014100516,7164,0,0.0
turkish |Turkish,2014100416,8535,1,1.1716461628588167E-4
turkish |Turkish,2014100511,8203,0,0.0
turkish |Turkish,2014100415,9288,3,3.2299741602067185E-4
turkish |Turkish,2014100510,7389,2,2.706726214643389E-4
turkish |Turkish,2014100418,8794,0,0.0
turkish |Turkish,2014100513,8653,0,0.0
