state |State |state |states,2014100819,4300,2,4.6511627906976747E-4
state |State |state |states,2014100507,16911,4,2.365324345100822E-4
state |State |state |states,2014100403,6749,2,2.96340198547933E-4
state |State |state |states,2014100506,11836,5,4.2244001351808043E-4
state |State |state |states,2014100402,6613,6,9.073037955542114E-4
state |State |state |states,2014100505,6487,0,0.0
state |State |state |states,2014100401,4570,4,8.7527352297593E-4
state |State |state |states,2014100504,3861,1,2.59000259000259E-4
state |State |state |states,2014100400,5285,7,0.0013245033112582781
state |State |state |states,2014100503,4540,3,6.607929515418502E-4
state |State |state |states,2014100709,5572,14,0.002512562814070352
state |State |state |states,2014100407,7111,15,0.0021094079594993673
state |State |state |states,2014100406,10763,7,6.503762891387159E-4
state |State |state |states,2014100501,6148,2,3.2530904359141186E-4
state |State |state |states,2014100405,10366,0,0.0
state |State |state |states,2014100500,11540,5,4.332755632582322E-4
state |State |state |states,2014100404,3086,0,0.0
state |State |state |states,2014100409,9932,10,0.0010068465565847766
state |State |state |states,2014100408,10458,14,0.0013386880856760374
state |State |state |states,2014100903,4141,3,7.244626901714562E-4
state |State |state |states,2014100613,12260,26,0.0021207177814029365
state |State |state |states,2014100904,4854,2,4.1203131437989287E-4
state |State |state |states,2014100614,10247,26,0.0025373279984385673
state |State |state |states,2014100905,7777,4,5.143371480005143E-4
state |State |state |states,2014100615,8801,23,0.002613339393250767
state |State |state |states,2014100710,7431,26,0.003498856143183959
state |State |state |states,2014100906,3505,7,0.0019971469329529245
state |State |state |states,2014100616,10833,9,8.307947936859596E-4
state |State |state |states,2014100711,13474,17,0.0012616891791598635
state |State |state |states,2014100617,11523,16,0.0013885272932396078
state |State |state |states,2014100900,3864,4,0.0010351966873706005
state |State |state |states,2014100618,10834,11,0.0010153221340225217
state |State |state |states,2014100901,3052,3,9.82961992136304E-4
state |State |state |states,2014100619,10472,29,0.0027692895339954163
state |State |state |states,2014100902,4916,1,2.034174125305126E-4
state |State |state |states,2014100716,9756,17,0.0017425174251742518
state |State |state |states,2014100800,3418,8,0.0023405500292568754
state |State |state |states,2014100717,12018,18,0.0014977533699450823
state |State |state |states,2014100801,4912,5,0.001017915309446254
state |State |state |states,2014100718,9824,32,0.003257328990228013
state |State |state |states,2014100802,4582,0,0.0
state |State |state |states,2014100719,8904,15,0.0016846361185983828
state |State |state |states,2014100803,4750,2,4.210526315789474E-4
state |State |state |states,2014100712,10146,18,0.0017740981667652277
state |State |state |states,2014100804,8238,0,0.0
state |State |state |states,2014100610,8565,10,0.0011675423234092236
state |State |state |states,2014100713,7382,18,0.002438363587103766
state |State |state |states,2014100805,6904,1,1.4484356894553882E-4
state |State |state |states,2014100611,8676,17,0.001959428307976026
state |State |state |states,2014100714,9294,13,0.001398751882935227
state |State |state |states,2014100806,7696,4,5.197505197505198E-4
state |State |state |states,2014100612,7761,34,0.004380878752738049
state |State |state |states,2014100715,8494,29,0.003414174711561102
state |State |state |states,2014100807,6298,8,0.0012702445220704986
state |State |state |states,2014100519,13547,23,0.001697792869269949
state |State |state |states,2014100809,5933,18,0.0030338783077700996
state |State |state |states,2014100518,12589,16,0.0012709508300897609
state |State |state |states,2014100808,7916,11,0.0013895907023749369
state |State |state |states,2014100410,8297,24,0.002892611787393034
state |State |state |states,2014100412,8252,14,0.0016965584100824044
state |State |state |states,2014100515,6526,12,0.0018387986515476554
state |State |state |states,2014100411,8736,11,0.0012591575091575092
state |State |state |states,2014100514,7337,19,0.0025896142837672073
state |State |state |states,2014100414,8029,18,0.0022418732096151452
state |State |state |states,2014100517,16635,13,7.814848211602044E-4
state |State |state |states,2014100413,7649,15,0.0019610406589096615
state |State |state |states,2014100516,7164,23,0.0032104969290898937
state |State |state |states,2014100416,8535,15,0.0017574692442882249
state |State |state |states,2014100511,8203,8,9.752529562355236E-4
state |State |state |states,2014100415,9288,20,0.002153316106804479
state |State |state |states,2014100510,7389,9,0.001218026796589525
state |State |state |states,2014100418,8794,15,0.0017057084375710712
state |State |state |states,2014100513,8653,12,0.0013868022651103663
state |State |state |states,2014100417,9001,13,0.0014442839684479503
state |State |state |states,2014100512,7658,8,0.0010446591799425438
state |State |state |states,2014100908,14247,16,0.0011230434477433845
state |State |state |states,2014100907,7751,9,0.001161140498000258
state |State |state |states,2014100419,8630,11,0.0012746234067207416
state |State |state |states,2014100909,1000,0,0.0
state |State |state |states,2014100721,11447,26,0.0022713374683323143
state |State |state |states,2014100722,8294,16,0.0019291053773812395
state |State |state |states,2014100720,10198,12,0.001176701313983134
state |State |state |states,2014100723,5300,7,0.0013207547169811322
state |State |state |states,2014100520,14801,21,0.001418823052496453
state |State |state |states,2014100523,12605,7,5.553351844506148E-4
