super |super |Super,2014100403,6749,4,5.92680397095866E-4
super |super |Super,2014100506,11836,3,2.5346400811084827E-4
super |super |Super,2014100402,6613,3,4.536518977771057E-4
super |super |Super,2014100505,6487,0,0.0
super |super |Super,2014100401,4570,1,2.188183807439825E-4
super |super |Super,2014100504,3861,3,7.77000777000777E-4
super |super |Super,2014100400,5285,4,7.568590350047304E-4
super |super |Super,2014100503,4540,3,6.607929515418502E-4
super |super |Super,2014100709,5572,9,0.001615218951902369
super |super |Super,2014100407,7111,12,0.0016875263675994938
super |super |Super,2014100406,10763,6,5.57465390690328E-4
super |super |Super,2014100501,6148,8,0.0013012361743656475
super |super |Super,2014100405,10366,4,3.8587690526721975E-4
super |super |Super,2014100500,11540,8,6.932409012131716E-4
super |super |Super,2014100404,3086,2,6.480881399870382E-4
super |super |Super,2014100409,9932,8,8.054772452678212E-4
super |super |Super,2014100408,10458,22,0.0021036527060623446
super |super |Super,2014100903,4141,5,0.001207437816952427
super |super |Super,2014100613,12260,10,8.156606851549756E-4
super |super |Super,2014100904,4854,1,2.0601565718994644E-4
super |super |Super,2014100614,10247,17,0.0016590221528252171
super |super |Super,2014100905,7777,1,1.2858428700012858E-4
super |super |Super,2014100615,8801,12,0.0013634814225656176
super |super |Super,2014100710,7431,21,0.002825999192571659
super |super |Super,2014100906,3505,5,0.0014265335235378032
super |super |Super,2014100616,10833,10,9.231053263177328E-4
super |super |Super,2014100711,13474,51,0.0037850675374795904
super |super |Super,2014100617,11523,25,0.0021695738956868872
super |super |Super,2014100900,3864,7,0.0018115942028985507
super |super |Super,2014100618,10834,15,0.0013845301827579842
super |super |Super,2014100901,3052,2,6.55307994757536E-4
super |super |Super,2014100619,10472,19,0.0018143621084797555
super |super |Super,2014100902,4916,1,2.034174125305126E-4
super |super |Super,2014100716,9756,16,0.0016400164001640015
super |super |Super,2014100800,3418,5,0.001462843768285547
super |super |Super,2014100717,12018,19,0.001580961890497587
super |super |Super,2014100801,4912,3,6.107491856677524E-4
super |super |Super,2014100718,9824,11,0.0011197068403908795
super |super |Super,2014100802,4582,4,8.729812309035355E-4
super |super |Super,2014100719,8904,18,0.0020215633423180594
super |super |Super,2014100803,4750,1,2.105263157894737E-4
super |super |Super,2014100712,10146,27,0.0026611472501478417
super |super |Super,2014100804,8238,4,4.8555474629764507E-4
super |super |Super,2014100610,8565,17,0.00198482194979568
super |super |Super,2014100713,7382,18,0.002438363587103766
super |super |Super,2014100805,6904,1,1.4484356894553882E-4
super |super |Super,2014100611,8676,20,0.002305209774089442
super |super |Super,2014100714,9294,20,0.002151925973746503
super |super |Super,2014100806,7696,4,5.197505197505198E-4
super |super |Super,2014100612,7761,24,0.0030923850019327404
super |super |Super,2014100715,8494,17,0.0020014127619496116
super |super |Super,2014100807,6298,4,6.351222610352493E-4
super |super |Super,2014100519,13547,17,0.0012548903816343101
super |super |Super,2014100809,5933,10,0.0016854879487611663
super |super |Super,2014100518,12589,17,0.001350385256970371
super |super |Super,2014100808,7916,9,0.0011369378473976757
super |super |Super,2014100410,8297,22,0.002651560805110281
super |super |Super,2014100412,8252,15,0.001817741153659719
super |super |Super,2014100515,6526,12,0.0018387986515476554
super |super |Super,2014100411,8736,10,0.0011446886446886447
super |super |Super,2014100514,7337,17,0.002317023306528554
super |super |Super,2014100414,8029,24,0.00298916427948686
super |super |Super,2014100517,16635,14,8.415990381725278E-4
super |super |Super,2014100413,7649,26,0.0033991371421100798
super |super |Super,2014100516,7164,11,0.0015354550530429928
super |super |Super,2014100416,8535,21,0.002460456942003515
super |super |Super,2014100511,8203,14,0.0017066926734121662
super |super |Super,2014100415,9288,22,0.0023686477174849267
super |super |Super,2014100510,7389,10,0.0013533631073216945
super |super |Super,2014100418,8794,14,0.0015919945417329998
super |super |Super,2014100513,8653,12,0.0013868022651103663
super |super |Super,2014100417,9001,15,0.0016664815020553273
super |super |Super,2014100512,7658,13,0.0016975711674066336
super |super |Super,2014100908,14247,11,7.720923703235769E-4
super |super |Super,2014100907,7751,8,0.0010321248871113405
super |super |Super,2014100419,8630,11,0.0012746234067207416
super |super |Super,2014100909,1000,4,0.004
super |super |Super,2014100721,11447,27,0.0023586966017297107
super |super |Super,2014100722,8294,58,0.006993006993006993
super |super |Super,2014100720,10198,18,0.001765051970974701
super |super |Super,2014100723,5300,39,0.007358490566037735
super |super |Super,2014100520,14801,31,0.0020944530774947637
super |super |Super,2014100523,12605,16,0.0012693375644585482
super |super |Super,2014100522,10915,24,0.0021988089784699956
super |super |Super,2014100521,14363,23,0.001601336768084662
super |super |Super,2014100623,8800,17,0.001931818181818182
super |super |Super,2014100622,9000,9,0.001
super |super |Super,2014100621,9007,18,0.001998445653380704
super |super |Super,2014100620,8998,23,0.0025561235830184486
super |super |Super,2014093011,9741,18,0.0018478595626732369
super |super |Super,2014093012,11191,34,0.003038155660798856
super |super |Super,2014093013,5267,16,0.003037782418834251
super |super |Super,2014093017,3899,8,0.0020518081559374197
super |super |Super,2014093018,99,0,0.0
super |super |Super,2014093019,8564,19,0.0022185894441849605
