train |train |trains,2014100506,11836,5,4.2244001351808043E-4
train |train |trains,2014100402,6613,0,0.0
train |train |trains,2014100505,6487,3,4.624633883150917E-4
train |train |trains,2014100401,4570,5,0.0010940919037199124
train |train |trains,2014100504,3861,4,0.001036001036001036
train |train |trains,2014100400,5285,2,3.784295175023652E-4
train |train |trains,2014100503,4540,5,0.0011013215859030838
train |train |trains,2014100709,5572,10,0.0017946877243359654
train |train |trains,2014100407,7111,12,0.0016875263675994938
train |train |trains,2014100406,10763,3,2.78732695345164E-4
train |train |trains,2014100501,6148,3,4.8796356538711777E-4
train |train |trains,2014100405,10366,2,1.9293845263360988E-4
train |train |trains,2014100500,11540,4,3.466204506065858E-4
train |train |trains,2014100404,3086,6,0.0019442644199611147
train |train |trains,2014100409,9932,14,0.001409585179218687
train |train |trains,2014100408,10458,14,0.0013386880856760374
train |train |trains,2014100903,4141,1,2.414875633904854E-4
train |train |trains,2014100613,12260,13,0.0010603588907014683
train |train |trains,2014100904,4854,0,0.0
train |train |trains,2014100614,10247,7,6.831267688103836E-4
train |train |trains,2014100905,7777,2,2.5716857400025716E-4
train |train |trains,2014100615,8801,19,0.0021588455857288946
train |train |trains,2014100710,7431,13,0.0017494280715919794
train |train |trains,2014100906,3505,5,0.0014265335235378032
train |train |trains,2014100616,10833,58,0.0053540108926428505
train |train |trains,2014100711,13474,9,6.679530948493394E-4
train |train |trains,2014100617,11523,44,0.003818450056408921
train |train |trains,2014100900,3864,5,0.0012939958592132505
train |train |trains,2014100618,10834,21,0.0019383422558611777
train |train |trains,2014100901,3052,1,3.27653997378768E-4
train |train |trains,2014100619,10472,18,0.0017188693659281895
train |train |trains,2014100902,4916,1,2.034174125305126E-4
train |train |trains,2014100716,9756,17,0.0017425174251742518
train |train |trains,2014100800,3418,4,0.0011702750146284377
train |train |trains,2014100717,12018,62,0.0051589282742552835
train |train |trains,2014100801,4912,1,2.0358306188925082E-4
train |train |trains,2014100718,9824,48,0.004885993485342019
train |train |trains,2014100802,4582,0,0.0
train |train |trains,2014100719,8904,24,0.0026954177897574125
train |train |trains,2014100803,4750,2,4.210526315789474E-4
train |train |trains,2014100712,10146,32,0.003153952296471516
train |train |trains,2014100804,8238,1,1.2138868657441127E-4
train |train |trains,2014100610,8565,6,7.005253940455342E-4
train |train |trains,2014100713,7382,45,0.006095908967759415
train |train |trains,2014100805,6904,1,1.4484356894553882E-4
