friday |Friday,2014100403,6749,4,5.92680397095866E-4
friday |Friday,2014100506,11836,1,8.448800270361608E-5
friday |Friday,2014100402,6613,6,9.073037955542114E-4
friday |Friday,2014100505,6487,0,0.0
friday |Friday,2014100401,4570,10,0.002188183807439825
friday |Friday,2014100504,3861,0,0.0
friday |Friday,2014100400,5285,14,0.0026490066225165563
friday |Friday,2014100503,4540,0,0.0
friday |Friday,2014100709,5572,6,0.0010768126346015793
friday |Friday,2014100407,7111,2,2.812543945999156E-4
friday |Friday,2014100406,10763,4,3.71643593793552E-4
friday |Friday,2014100501,6148,1,1.6265452179570593E-4
friday |Friday,2014100405,10366,2,1.9293845263360988E-4
friday |Friday,2014100500,11540,2,1.733102253032929E-4
friday |Friday,2014100404,3086,3,9.721322099805574E-4
friday |Friday,2014100409,9932,4,4.027386226339106E-4
friday |Friday,2014100408,10458,7,6.693440428380187E-4
friday |Friday,2014100903,4141,0,0.0
friday |Friday,2014100613,12260,13,0.0010603588907014683
friday |Friday,2014100904,4854,0,0.0
friday |Friday,2014100614,10247,20,0.0019517907680296671
friday |Friday,2014100905,7777,0,0.0
friday |Friday,2014100615,8801,17,0.001931598681967958
friday |Friday,2014100710,7431,22,0.002960570582694119
friday |Friday,2014100906,3505,7,0.0019971469329529245
friday |Friday,2014100616,10833,15,0.0013846579894765993
friday |Friday,2014100711,13474,19,0.0014101232002374944
friday |Friday,2014100617,11523,24,0.002082790939859412
friday |Friday,2014100900,3864,5,0.0012939958592132505
friday |Friday,2014100618,10834,9,8.307181096547905E-4
friday |Friday,2014100901,3052,3,9.82961992136304E-4
friday |Friday,2014100619,10472,14,0.001336898395721925
friday |Friday,2014100902,4916,1,2.034174125305126E-4
friday |Friday,2014100716,9756,15,0.0015375153751537515
friday |Friday,2014100800,3418,3,8.777062609713282E-4
friday |Friday,2014100717,12018,12,9.98502246630055E-4
friday |Friday,2014100801,4912,0,0.0
friday |Friday,2014100718,9824,23,0.0023412052117263845
friday |Friday,2014100802,4582,2,4.3649061545176777E-4
friday |Friday,2014100719,8904,14,0.0015723270440251573
