strike |strike |strikes,2014100818,7400,1,1.3513513513513514E-4
strike |strike |strikes,2014100601,8669,2,2.3070711731456916E-4
strike |strike |strikes,2014100704,3010,0,0.0
strike |strike |strikes,2014100815,5628,5,8.884150675195451E-4
strike |strike |strikes,2014100701,13455,0,0.0
strike |strike |strikes,2014100816,7857,5,6.363752068219422E-4
strike |strike |strikes,2014100702,8524,1,1.1731581417175035E-4
strike |strike |strikes,2014100509,9287,8,8.614191881124152E-4
strike |strike |strikes,2014100508,6498,0,0.0
strike |strike |strikes,2014100819,4300,1,2.3255813953488373E-4
strike |strike |strikes,2014100507,16911,1,5.913310862752055E-5
strike |strike |strikes,2014100403,6749,1,1.481700992739665E-4
strike |strike |strikes,2014100506,11836,0,0.0
strike |strike |strikes,2014100402,6613,0,0.0
strike |strike |strikes,2014100505,6487,2,3.083089255433945E-4
strike |strike |strikes,2014100401,4570,1,2.188183807439825E-4
strike |strike |strikes,2014100504,3861,8,0.002072002072002072
strike |strike |strikes,2014100400,5285,2,3.784295175023652E-4
strike |strike |strikes,2014100503,4540,28,0.006167400881057269
strike |strike |strikes,2014100709,5572,4,7.178750897343862E-4
strike |strike |strikes,2014100407,7111,3,4.2188159189987344E-4
strike |strike |strikes,2014100406,10763,3,2.78732695345164E-4
strike |strike |strikes,2014100501,6148,3,4.8796356538711777E-4
strike |strike |strikes,2014100405,10366,1,9.646922631680494E-5
strike |strike |strikes,2014100500,11540,1,8.665511265164645E-5
strike |strike |strikes,2014100404,3086,0,0.0
strike |strike |strikes,2014100409,9932,6,6.041079339508659E-4
strike |strike |strikes,2014100408,10458,1,9.562057754828839E-5
strike |strike |strikes,2014100903,4141,2,4.829751267809708E-4
strike |strike |strikes,2014100613,12260,3,2.4469820554649265E-4
strike |strike |strikes,2014100904,4854,0,0.0
strike |strike |strikes,2014100614,10247,2,1.9517907680296673E-4
strike |strike |strikes,2014100905,7777,0,0.0
strike |strike |strikes,2014100615,8801,1,1.1362345188046812E-4
strike |strike |strikes,2014100710,7431,4,5.382855604898399E-4
strike |strike |strikes,2014100906,3505,1,2.853067047075606E-4
strike |strike |strikes,2014100616,10833,5,4.615526631588664E-4
strike |strike |strikes,2014100711,13474,1,7.421701053881549E-5
strike |strike |strikes,2014100617,11523,11,9.546125141022303E-4
strike |strike |strikes,2014100900,3864,4,0.0010351966873706005
strike |strike |strikes,2014100618,10834,5,4.6151006091932806E-4
strike |strike |strikes,2014100901,3052,1,3.27653997378768E-4
strike |strike |strikes,2014100619,10472,2,1.9098548510313216E-4
strike |strike |strikes,2014100902,4916,0,0.0
strike |strike |strikes,2014100716,9756,1,1.025010250102501E-4
strike |strike |strikes,2014100800,3418,4,0.0011702750146284377
strike |strike |strikes,2014100717,12018,2,1.6641704110500916E-4
strike |strike |strikes,2014100801,4912,1,2.0358306188925082E-4
strike |strike |strikes,2014100718,9824,5,5.08957654723127E-4
strike |strike |strikes,2014100802,4582,0,0.0
strike |strike |strikes,2014100719,8904,15,0.0016846361185983828
strike |strike |strikes,2014100803,4750,1,2.105263157894737E-4
strike |strike |strikes,2014100712,10146,3,2.9568302779420464E-4
strike |strike |strikes,2014100804,8238,0,0.0
strike |strike |strikes,2014100610,8565,2,2.335084646818447E-4
strike |strike |strikes,2014100713,7382,2,2.70929287455974E-4
strike |strike |strikes,2014100805,6904,1,1.4484356894553882E-4
strike |strike |strikes,2014100611,8676,5,5.763024435223605E-4
strike |strike |strikes,2014100714,9294,11,0.0011835592855605767
strike |strike |strikes,2014100806,7696,2,2.598752598752599E-4
strike |strike |strikes,2014100612,7761,5,6.442468754026543E-4
strike |strike |strikes,2014100715,8494,4,4.709206498704968E-4
strike |strike |strikes,2014100807,6298,2,3.1756113051762465E-4
strike |strike |strikes,2014100519,13547,4,2.9526832509042594E-4
strike |strike |strikes,2014100809,5933,4,6.741951795044666E-4
strike |strike |strikes,2014100518,12589,0,0.0
strike |strike |strikes,2014100808,7916,0,0.0
strike |strike |strikes,2014100410,8297,5,6.02627455706882E-4
strike |strike |strikes,2014100412,8252,2,2.423654871546292E-4
