abbott |Abbott,2014100816,7857,21,0.002672775868652157
abbott |Abbott,2014100702,8524,0,0.0
abbott |Abbott,2014100509,9287,33,0.0035533541509637128
abbott |Abbott,2014100508,6498,5,7.694675284702986E-4
abbott |Abbott,2014100819,4300,12,0.0027906976744186047
abbott |Abbott,2014100507,16911,2,1.182662172550411E-4
abbott |Abbott,2014100403,6749,2,2.96340198547933E-4
abbott |Abbott,2014100506,11836,2,1.6897600540723216E-4
abbott |Abbott,2014100402,6613,3,4.536518977771057E-4
abbott |Abbott,2014100505,6487,0,0.0
abbott |Abbott,2014100401,4570,4,8.7527352297593E-4
abbott |Abbott,2014100504,3861,0,0.0
abbott |Abbott,2014100400,5285,3,5.676442762535478E-4
abbott |Abbott,2014100503,4540,1,2.2026431718061675E-4
abbott |Abbott,2014100709,5572,29,0.0052045944005743
abbott |Abbott,2014100407,7111,7,9.843903810997047E-4
abbott |Abbott,2014100406,10763,6,5.57465390690328E-4
abbott |Abbott,2014100501,6148,3,4.8796356538711777E-4
abbott |Abbott,2014100405,10366,0,0.0
abbott |Abbott,2014100500,11540,8,6.932409012131716E-4
abbott |Abbott,2014100404,3086,0,0.0
abbott |Abbott,2014100409,9932,67,0.006745871929118003
abbott |Abbott,2014100408,10458,114,0.010900745840504877
abbott |Abbott,2014100903,4141,0,0.0
abbott |Abbott,2014100613,12260,39,0.0031810766721044044
abbott |Abbott,2014100904,4854,1,2.0601565718994644E-4
abbott |Abbott,2014100614,10247,36,0.003513223382453401
abbott |Abbott,2014100905,7777,0,0.0
abbott |Abbott,2014100615,8801,55,0.0062492898534257475
abbott |Abbott,2014100710,7431,11,0.0014802852913470596
abbott |Abbott,2014100906,3505,1,2.853067047075606E-4
abbott |Abbott,2014100616,10833,43,0.003969352903166252
abbott |Abbott,2014100711,13474,35,0.0025975953688585425
abbott |Abbott,2014100617,11523,11,9.546125141022303E-4
abbott |Abbott,2014100900,3864,10,0.002587991718426501
abbott |Abbott,2014100618,10834,19,0.0017537382314934465
abbott |Abbott,2014100901,3052,3,9.82961992136304E-4
abbott |Abbott,2014100619,10472,27,0.0025783040488922843
abbott |Abbott,2014100902,4916,1,2.034174125305126E-4
abbott |Abbott,2014100716,9756,20,0.002050020500205002
abbott |Abbott,2014100800,3418,5,0.001462843768285547
abbott |Abbott,2014100717,12018,15,0.0012481278082875687
abbott |Abbott,2014100801,4912,2,4.0716612377850165E-4
abbott |Abbott,2014100718,9824,13,0.0013232899022801302
abbott |Abbott,2014100802,4582,3,6.547359231776517E-4
abbott |Abbott,2014100719,8904,12,0.0013477088948787063
abbott |Abbott,2014100803,4750,1,2.105263157894737E-4
abbott |Abbott,2014100712,10146,17,0.0016755371575004928
abbott |Abbott,2014100804,8238,17,0.0020636076717649916
abbott |Abbott,2014100610,8565,37,0.004319906596614127
abbott |Abbott,2014100713,7382,23,0.003115686805743701
abbott |Abbott,2014100805,6904,4,5.793742757821553E-4
abbott |Abbott,2014100611,8676,6,6.915629322268327E-4
abbott |Abbott,2014100714,9294,26,0.002797503765870454
abbott |Abbott,2014100806,7696,3,3.8981288981288983E-4
abbott |Abbott,2014100612,7761,30,0.003865481252415926
abbott |Abbott,2014100715,8494,14,0.0016482222745467388
abbott |Abbott,2014100807,6298,3,4.76341695776437E-4
abbott |Abbott,2014100519,13547,21,0.001550158706724736
