prime minister |Prime Minister |prime minister,2014100609,13287,11,8.27876872130654E-4
prime minister |Prime Minister |prime minister,2014100810,6053,0,0.0
prime minister |Prime Minister |prime minister,2014100606,4334,0,0.0
prime minister |Prime Minister |prime minister,2014100607,6194,0,0.0
prime minister |Prime Minister |prime minister,2014100707,4802,0,0.0
prime minister |Prime Minister |prime minister,2014100813,7061,1,1.41622999575131E-4
prime minister |Prime Minister |prime minister,2014100708,5400,0,0.0
prime minister |Prime Minister |prime minister,2014100814,6011,0,0.0
prime minister |Prime Minister |prime minister,2014100705,2740,0,0.0
prime minister |Prime Minister |prime minister,2014100811,6604,0,0.0
prime minister |Prime Minister |prime minister,2014100706,3398,0,0.0
prime minister |Prime Minister |prime minister,2014100812,5896,0,0.0
prime minister |Prime Minister |prime minister,2014100817,6743,2,2.9660388551090017E-4
prime minister |Prime Minister |prime minister,2014100600,15771,0,0.0
prime minister |Prime Minister |prime minister,2014100703,5792,0,0.0
prime minister |Prime Minister |prime minister,2014100818,7400,0,0.0
prime minister |Prime Minister |prime minister,2014100601,8669,0,0.0
prime minister |Prime Minister |prime minister,2014100704,3010,0,0.0
prime minister |Prime Minister |prime minister,2014100815,5628,0,0.0
prime minister |Prime Minister |prime minister,2014100701,13455,0,0.0
prime minister |Prime Minister |prime minister,2014100816,7857,1,1.2727504136438844E-4
prime minister |Prime Minister |prime minister,2014100702,8524,0,0.0
prime minister |Prime Minister |prime minister,2014100509,9287,9,9.690965866264671E-4
prime minister |Prime Minister |prime minister,2014100508,6498,1,1.538935056940597E-4
prime minister |Prime Minister |prime minister,2014100819,4300,0,0.0
prime minister |Prime Minister |prime minister,2014100507,16911,0,0.0
prime minister |Prime Minister |prime minister,2014100403,6749,0,0.0
prime minister |Prime Minister |prime minister,2014100506,11836,0,0.0
prime minister |Prime Minister |prime minister,2014100402,6613,0,0.0
prime minister |Prime Minister |prime minister,2014100505,6487,0,0.0
prime minister |Prime Minister |prime minister,2014100401,4570,2,4.37636761487965E-4
prime minister |Prime Minister |prime minister,2014100504,3861,0,0.0
prime minister |Prime Minister |prime minister,2014100400,5285,1,1.892147587511826E-4
prime minister |Prime Minister |prime minister,2014100503,4540,0,0.0
prime minister |Prime Minister |prime minister,2014100709,5572,0,0.0
prime minister |Prime Minister |prime minister,2014100407,7111,2,2.812543945999156E-4
prime minister |Prime Minister |prime minister,2014100406,10763,2,1.85821796896776E-4
prime minister |Prime Minister |prime minister,2014100501,6148,0,0.0
prime minister |Prime Minister |prime minister,2014100405,10366,0,0.0
prime minister |Prime Minister |prime minister,2014100500,11540,0,0.0
prime minister |Prime Minister |prime minister,2014100404,3086,0,0.0
prime minister |Prime Minister |prime minister,2014100409,9932,0,0.0
prime minister |Prime Minister |prime minister,2014100408,10458,1,9.562057754828839E-5
prime minister |Prime Minister |prime minister,2014100903,4141,0,0.0
prime minister |Prime Minister |prime minister,2014100613,12260,0,0.0
prime minister |Prime Minister |prime minister,2014100904,4854,0,0.0
prime minister |Prime Minister |prime minister,2014100614,10247,2,1.9517907680296673E-4
prime minister |Prime Minister |prime minister,2014100905,7777,0,0.0
prime minister |Prime Minister |prime minister,2014100615,8801,1,1.1362345188046812E-4
prime minister |Prime Minister |prime minister,2014100710,7431,2,2.6914278024491994E-4
prime minister |Prime Minister |prime minister,2014100906,3505,0,0.0
prime minister |Prime Minister |prime minister,2014100616,10833,0,0.0
prime minister |Prime Minister |prime minister,2014100711,13474,0,0.0
prime minister |Prime Minister |prime minister,2014100617,11523,0,0.0
prime minister |Prime Minister |prime minister,2014100900,3864,0,0.0
prime minister |Prime Minister |prime minister,2014100618,10834,0,0.0
prime minister |Prime Minister |prime minister,2014100901,3052,1,3.27653997378768E-4
prime minister |Prime Minister |prime minister,2014100619,10472,0,0.0
prime minister |Prime Minister |prime minister,2014100902,4916,0,0.0
prime minister |Prime Minister |prime minister,2014100716,9756,1,1.025010250102501E-4
prime minister |Prime Minister |prime minister,2014100800,3418,0,0.0
prime minister |Prime Minister |prime minister,2014100717,12018,0,0.0
prime minister |Prime Minister |prime minister,2014100801,4912,0,0.0
prime minister |Prime Minister |prime minister,2014100718,9824,2,2.0358306188925082E-4
