bet |bets |bet,2014100815,5628,4,7.107320540156361E-4
bet |bets |bet,2014100701,13455,4,2.9728725380899295E-4
bet |bets |bet,2014100816,7857,5,6.363752068219422E-4
bet |bets |bet,2014100702,8524,0,0.0
bet |bets |bet,2014100509,9287,4,4.307095940562076E-4
bet |bets |bet,2014100508,6498,1,1.538935056940597E-4
bet |bets |bet,2014100819,4300,7,0.0016279069767441861
bet |bets |bet,2014100507,16911,0,0.0
bet |bets |bet,2014100403,6749,1,1.481700992739665E-4
bet |bets |bet,2014100506,11836,0,0.0
bet |bets |bet,2014100402,6613,3,4.536518977771057E-4
bet |bets |bet,2014100505,6487,1,1.5415446277169725E-4
bet |bets |bet,2014100401,4570,2,4.37636761487965E-4
bet |bets |bet,2014100504,3861,3,7.77000777000777E-4
bet |bets |bet,2014100400,5285,4,7.568590350047304E-4
bet |bets |bet,2014100503,4540,1,2.2026431718061675E-4
bet |bets |bet,2014100709,5572,4,7.178750897343862E-4
bet |bets |bet,2014100407,7111,4,5.625087891998312E-4
bet |bets |bet,2014100406,10763,3,2.78732695345164E-4
bet |bets |bet,2014100501,6148,6,9.759271307742355E-4
bet |bets |bet,2014100405,10366,2,1.9293845263360988E-4
bet |bets |bet,2014100500,11540,2,1.733102253032929E-4
bet |bets |bet,2014100404,3086,0,0.0
bet |bets |bet,2014100409,9932,12,0.0012082158679017317
bet |bets |bet,2014100408,10458,7,6.693440428380187E-4
bet |bets |bet,2014100903,4141,0,0.0
bet |bets |bet,2014100613,12260,12,9.787928221859706E-4
bet |bets |bet,2014100904,4854,0,0.0
bet |bets |bet,2014100614,10247,5,4.879476920074168E-4
bet |bets |bet,2014100905,7777,0,0.0
bet |bets |bet,2014100615,8801,6,6.817407112828088E-4
bet |bets |bet,2014100710,7431,5,6.728569506122998E-4
bet |bets |bet,2014100906,3505,1,2.853067047075606E-4
bet |bets |bet,2014100616,10833,4,3.6924213052709313E-4
bet |bets |bet,2014100711,13474,4,2.9686804215526197E-4
bet |bets |bet,2014100617,11523,10,8.678295582747548E-4
bet |bets |bet,2014100900,3864,8,0.002070393374741201
bet |bets |bet,2014100618,10834,8,7.384160974709249E-4
bet |bets |bet,2014100901,3052,0,0.0
bet |bets |bet,2014100619,10472,10,9.549274255156608E-4
bet |bets |bet,2014100902,4916,3,6.102522375915378E-4
bet |bets |bet,2014100716,9756,5,5.125051250512505E-4
bet |bets |bet,2014100800,3418,4,0.0011702750146284377
bet |bets |bet,2014100717,12018,8,6.656681644200366E-4
bet |bets |bet,2014100801,4912,4,8.143322475570033E-4
bet |bets |bet,2014100718,9824,7,7.125407166123778E-4
bet |bets |bet,2014100802,4582,3,6.547359231776517E-4
bet |bets |bet,2014100719,8904,7,7.861635220125787E-4
bet |bets |bet,2014100803,4750,0,0.0
bet |bets |bet,2014100712,10146,6,5.913660555884093E-4
bet |bets |bet,2014100804,8238,0,0.0
bet |bets |bet,2014100610,8565,14,0.0016345592527729131
bet |bets |bet,2014100713,7382,5,6.77323218639935E-4
bet |bets |bet,2014100805,6904,1,1.4484356894553882E-4
bet |bets |bet,2014100611,8676,6,6.915629322268327E-4
bet |bets |bet,2014100714,9294,7,7.53174090811276E-4
bet |bets |bet,2014100806,7696,0,0.0
bet |bets |bet,2014100612,7761,11,0.0014173431258858395
bet |bets |bet,2014100715,8494,4,4.709206498704968E-4
bet |bets |bet,2014100807,6298,2,3.1756113051762465E-4
bet |bets |bet,2014100519,13547,13,9.596220565438843E-4
bet |bets |bet,2014100809,5933,4,6.741951795044666E-4
bet |bets |bet,2014100518,12589,15,0.0011915164032091508
bet |bets |bet,2014100808,7916,1,1.2632642748863063E-4
bet |bets |bet,2014100410,8297,11,0.0013257804025551404
bet |bets |bet,2014100412,8252,11,0.0013330101793504604
bet |bets |bet,2014100515,6526,6,9.193993257738277E-4
bet |bets |bet,2014100411,8736,15,0.001717032967032967
bet |bets |bet,2014100514,7337,6,8.177729317159602E-4
bet |bets |bet,2014100414,8029,13,0.0016191306513887158
bet |bets |bet,2014100517,16635,8,4.809137360985873E-4
bet |bets |bet,2014100413,7649,6,7.844162635638645E-4
bet |bets |bet,2014100516,7164,4,5.583472920156337E-4
bet |bets |bet,2014100416,8535,3,3.51493848857645E-4
bet |bets |bet,2014100511,8203,11,0.0013409728148238449
bet |bets |bet,2014100415,9288,10,0.0010766580534022395
bet |bets |bet,2014100510,7389,4,5.413452429286778E-4
bet |bets |bet,2014100418,8794,5,5.685694791903571E-4
bet |bets |bet,2014100513,8653,4,4.6226742170345545E-4
bet |bets |bet,2014100417,9001,15,0.0016664815020553273
bet |bets |bet,2014100512,7658,11,0.0014364063724209976
bet |bets |bet,2014100908,14247,5,3.5095107741980766E-4
bet |bets |bet,2014100907,7751,2,2.580312217778351E-4
bet |bets |bet,2014100419,8630,13,0.0015063731170336038
bet |bets |bet,2014100909,1000,1,0.001
bet |bets |bet,2014100721,11447,11,9.609504673713636E-4
bet |bets |bet,2014100722,8294,10,0.0012056908608632747
bet |bets |bet,2014100720,10198,8,7.844675426554226E-4
bet |bets |bet,2014100723,5300,4,7.547169811320754E-4
bet |bets |bet,2014100520,14801,7,4.7294101749881766E-4
bet |bets |bet,2014100523,12605,12,9.520031733439112E-4
bet |bets |bet,2014100522,10915,13,0.0011910215300045808
bet |bets |bet,2014100521,14363,21,0.0014620900925990392
bet |bets |bet,2014100623,8800,5,5.681818181818182E-4
bet |bets |bet,2014100622,9000,4,4.4444444444444447E-4
bet |bets |bet,2014100621,9007,15,0.0016653713778172533
bet |bets |bet,2014100620,8998,13,0.00144476550344521
bet |bets |bet,2014093011,9741,6,6.159531875577456E-4
bet |bets |bet,2014093012,11191,14,0.0012510052720936468
bet |bets |bet,2014093013,5267,3,5.69584203531422E-4
bet |bets |bet,2014093017,3899,4,0.0010259040779687098
bet |bets |bet,2014093018,99,0,0.0
bet |bets |bet,2014093019,8564,4,4.6707146193367583E-4
