work |work |works,2014100709,5572,62,0.011127063890882987
work |work |works,2014100407,7111,38,0.005343833497398397
work |work |works,2014100406,10763,26,0.002415683359658088
work |work |works,2014100501,6148,32,0.00520494469746259
work |work |works,2014100405,10366,11,0.0010611614894848543
work |work |works,2014100500,11540,35,0.0030329289428076256
work |work |works,2014100404,3086,19,0.006156837329876863
work |work |works,2014100409,9932,73,0.0073499798630688685
work |work |works,2014100408,10458,64,0.006119716963090457
work |work |works,2014100903,4141,12,0.0028978507606858247
work |work |works,2014100613,12260,85,0.006933115823817292
work |work |works,2014100904,4854,9,0.001854140914709518
work |work |works,2014100614,10247,74,0.0072216258417097685
work |work |works,2014100905,7777,4,5.143371480005143E-4
work |work |works,2014100615,8801,67,0.007612771275991364
work |work |works,2014100710,7431,105,0.014129995962858296
work |work |works,2014100906,3505,26,0.007417974322396576
work |work |works,2014100616,10833,80,0.007384842610541863
work |work |works,2014100711,13474,92,0.006827964969571026
work |work |works,2014100617,11523,113,0.009806474008504729
work |work |works,2014100900,3864,27,0.006987577639751553
work |work |works,2014100618,10834,105,0.00969171127930589
work |work |works,2014100901,3052,13,0.004259501965923985
work |work |works,2014100619,10472,99,0.009453781512605041
work |work |works,2014100902,4916,6,0.0012205044751830757
work |work |works,2014100716,9756,101,0.01035260352603526
work |work |works,2014100800,3418,27,0.007899356348741955
work |work |works,2014100717,12018,82,0.0068230986853053755
work |work |works,2014100801,4912,25,0.00508957654723127
work |work |works,2014100718,9824,83,0.008448697068403909
work |work |works,2014100802,4582,12,0.0026189436927106066
work |work |works,2014100719,8904,80,0.008984725965858042
work |work |works,2014100803,4750,5,0.0010526315789473684
work |work |works,2014100712,10146,104,0.010250344963532427
work |work |works,2014100804,8238,6,7.283321194464676E-4
work |work |works,2014100610,8565,101,0.011792177466433159
work |work |works,2014100713,7382,100,0.0135464643727987
work |work |works,2014100805,6904,10,0.0014484356894553883
work |work |works,2014100611,8676,102,0.011756569847856155
work |work |works,2014100714,9294,63,0.006778566817301485
work |work |works,2014100806,7696,20,0.002598752598752599
work |work |works,2014100612,7761,66,0.008504058755315036
work |work |works,2014100715,8494,95,0.0111843654344243
work |work |works,2014100807,6298,31,0.004922197523023182
work |work |works,2014100519,13547,73,0.005388646932900273
work |work |works,2014100809,5933,71,0.011966964436204281
work |work |works,2014100518,12589,66,0.005242672174120264
work |work |works,2014100808,7916,60,0.007579585649317837
work |work |works,2014100410,8297,68,0.008195733397613595
work |work |works,2014100412,8252,41,0.0049684924866698985
work |work |works,2014100515,6526,52,0.00796812749003984
work |work |works,2014100411,8736,67,0.007669413919413919
work |work |works,2014100514,7337,50,0.006814774430966335
work |work |works,2014100414,8029,71,0.008842944326815294
work |work |works,2014100517,16635,72,0.004328223624887286
work |work |works,2014100413,7649,41,0.005360177801019741
work |work |works,2014100516,7164,67,0.009352317141261866
work |work |works,2014100416,8535,57,0.006678383128295255
work |work |works,2014100511,8203,64,0.007802023649884189
work |work |works,2014100415,9288,65,0.0069982773471145565
work |work |works,2014100510,7389,43,0.005819461361483286
work |work |works,2014100418,8794,63,0.007163975437798499
work |work |works,2014100513,8653,51,0.005893909626719057
work |work |works,2014100417,9001,67,0.007443617375847128
work |work |works,2014100512,7658,55,0.007182031862104988
work |work |works,2014100908,14247,44,0.0030883694812943075
work |work |works,2014100907,7751,41,0.00528964004644562
work |work |works,2014100419,8630,58,0.006720741599073001
work |work |works,2014100909,1000,11,0.011
work |work |works,2014100721,11447,109,0.00952214554031624
work |work |works,2014100722,8294,56,0.006751868820834338
work |work |works,2014100720,10198,90,0.008825259854873504
work |work |works,2014100723,5300,41,0.007735849056603773
work |work |works,2014100520,14801,53,0.003580839132491048
work |work |works,2014100523,12605,61,0.004839349464498215
work |work |works,2014100522,10915,66,0.006046724690792487
work |work |works,2014100521,14363,76,0.005291373668453666
work |work |works,2014100623,8800,41,0.004659090909090909
work |work |works,2014100622,9000,101,0.011222222222222222
work |work |works,2014100621,9007,84,0.009326079715776618
work |work |works,2014100620,8998,60,0.006668148477439431
work |work |works,2014093011,9741,86,0.008828662354994354
work |work |works,2014093012,11191,97,0.008667679385220266
work |work |works,2014093013,5267,32,0.006075564837668502
work |work |works,2014093017,3899,30,0.007694280584765324
work |work |works,2014093018,99,1,0.010101010101010102
work |work |works,2014093019,8564,72,0.008407286314806165
