hunt |Hunt,2014100509,9287,0,0.0
hunt |Hunt,2014100508,6498,1,1.538935056940597E-4
hunt |Hunt,2014100819,4300,2,4.6511627906976747E-4
hunt |Hunt,2014100507,16911,0,0.0
hunt |Hunt,2014100403,6749,0,0.0
hunt |Hunt,2014100506,11836,1,8.448800270361608E-5
hunt |Hunt,2014100402,6613,0,0.0
hunt |Hunt,2014100505,6487,0,0.0
hunt |Hunt,2014100401,4570,0,0.0
hunt |Hunt,2014100504,3861,0,0.0
hunt |Hunt,2014100400,5285,1,1.892147587511826E-4
hunt |Hunt,2014100503,4540,0,0.0
hunt |Hunt,2014100709,5572,11,0.001974156496769562
hunt |Hunt,2014100407,7111,0,0.0
hunt |Hunt,2014100406,10763,0,0.0
hunt |Hunt,2014100501,6148,2,3.2530904359141186E-4
hunt |Hunt,2014100405,10366,0,0.0
hunt |Hunt,2014100500,11540,1,8.665511265164645E-5
hunt |Hunt,2014100404,3086,0,0.0
hunt |Hunt,2014100409,9932,4,4.027386226339106E-4
hunt |Hunt,2014100408,10458,6,5.737234652897303E-4
hunt |Hunt,2014100903,4141,0,0.0
hunt |Hunt,2014100613,12260,0,0.0
hunt |Hunt,2014100904,4854,0,0.0
hunt |Hunt,2014100614,10247,2,1.9517907680296673E-4
hunt |Hunt,2014100905,7777,0,0.0
hunt |Hunt,2014100615,8801,4,4.544938075218725E-4
hunt |Hunt,2014100710,7431,8,0.0010765711209796797
hunt |Hunt,2014100906,3505,3,8.559201141226819E-4
hunt |Hunt,2014100616,10833,7,6.46173728422413E-4
hunt |Hunt,2014100711,13474,15,0.0011132551580822325
hunt |Hunt,2014100617,11523,2,1.7356591165495098E-4
hunt |Hunt,2014100900,3864,12,0.003105590062111801
hunt |Hunt,2014100618,10834,4,3.6920804873546244E-4
hunt |Hunt,2014100901,3052,1,3.27653997378768E-4
hunt |Hunt,2014100619,10472,0,0.0
hunt |Hunt,2014100902,4916,1,2.034174125305126E-4
hunt |Hunt,2014100716,9756,5,5.125051250512505E-4
hunt |Hunt,2014100800,3418,0,0.0
hunt |Hunt,2014100717,12018,1,8.320852055250458E-5
