labor |Labor,2014100401,4570,1,2.188183807439825E-4
labor |Labor,2014100504,3861,0,0.0
labor |Labor,2014100400,5285,0,0.0
labor |Labor,2014100503,4540,0,0.0
labor |Labor,2014100709,5572,26,0.00466618808327351
labor |Labor,2014100407,7111,0,0.0
labor |Labor,2014100406,10763,1,9.2910898448388E-5
labor |Labor,2014100501,6148,1,1.6265452179570593E-4
labor |Labor,2014100405,10366,1,9.646922631680494E-5
labor |Labor,2014100500,11540,1,8.665511265164645E-5
labor |Labor,2014100404,3086,0,0.0
labor |Labor,2014100409,9932,13,0.0013089005235602095
labor |Labor,2014100408,10458,3,2.8686173264486515E-4
labor |Labor,2014100903,4141,0,0.0
labor |Labor,2014100613,12260,39,0.0031810766721044044
labor |Labor,2014100904,4854,0,0.0
labor |Labor,2014100614,10247,15,0.0014638430760222504
labor |Labor,2014100905,7777,0,0.0
labor |Labor,2014100615,8801,18,0.0020452221338484265
labor |Labor,2014100710,7431,3,4.037141703673799E-4
labor |Labor,2014100906,3505,0,0.0
labor |Labor,2014100616,10833,8,7.384842610541863E-4
labor |Labor,2014100711,13474,7,5.195190737717084E-4
labor |Labor,2014100617,11523,6,5.20697734964853E-4
labor |Labor,2014100900,3864,3,7.763975155279503E-4
labor |Labor,2014100618,10834,24,0.0022152482924127745
labor |Labor,2014100901,3052,0,0.0
labor |Labor,2014100619,10472,27,0.0025783040488922843
labor |Labor,2014100902,4916,0,0.0
labor |Labor,2014100716,9756,4,4.100041000410004E-4
labor |Labor,2014100800,3418,3,8.777062609713282E-4
labor |Labor,2014100717,12018,10,8.320852055250458E-4
labor |Labor,2014100801,4912,0,0.0
labor |Labor,2014100718,9824,8,8.143322475570033E-4
labor |Labor,2014100802,4582,0,0.0
labor |Labor,2014100719,8904,5,5.615453728661276E-4
labor |Labor,2014100803,4750,0,0.0
labor |Labor,2014100712,10146,13,0.0012812931204415534
labor |Labor,2014100804,8238,0,0.0
labor |Labor,2014100610,8565,46,0.005370694687682429
labor |Labor,2014100713,7382,3,4.06393931183961E-4
labor |Labor,2014100805,6904,2,2.8968713789107763E-4
labor |Labor,2014100611,8676,48,0.005532503457814661
labor |Labor,2014100714,9294,9,9.683666881859264E-4
labor |Labor,2014100806,7696,1,1.2993762993762994E-4
labor |Labor,2014100612,7761,48,0.006184770003865481
labor |Labor,2014100715,8494,0,0.0
labor |Labor,2014100807,6298,4,6.351222610352493E-4
labor |Labor,2014100519,13547,9,6.643537314534584E-4
labor |Labor,2014100809,5933,5,8.427439743805831E-4
labor |Labor,2014100518,12589,12,9.532131225673207E-4
labor |Labor,2014100808,7916,16,0.00202122283981809
labor |Labor,2014100410,8297,9,0.0010847294202723876
labor |Labor,2014100412,8252,7,8.482792050412022E-4
labor |Labor,2014100515,6526,3,4.5969966288691386E-4
labor |Labor,2014100411,8736,18,0.0020604395604395605
labor |Labor,2014100514,7337,3,4.088864658579801E-4
labor |Labor,2014100414,8029,7,8.718395815170009E-4
labor |Labor,2014100517,16635,7,4.207995190862639E-4
labor |Labor,2014100413,7649,15,0.0019610406589096615
labor |Labor,2014100516,7164,4,5.583472920156337E-4
labor |Labor,2014100416,8535,8,9.373169302870533E-4
labor |Labor,2014100511,8203,2,2.438132390588809E-4
labor |Labor,2014100415,9288,23,0.0024763135228251507
labor |Labor,2014100510,7389,6,8.120178643930166E-4
labor |Labor,2014100418,8794,5,5.685694791903571E-4
labor |Labor,2014100513,8653,2,2.3113371085172773E-4
labor |Labor,2014100417,9001,5,5.554938340184424E-4
labor |Labor,2014100512,7658,1,1.3058239749281798E-4
labor |Labor,2014100908,14247,9,6.317119393556538E-4
labor |Labor,2014100907,7751,3,3.8704683266675265E-4
labor |Labor,2014100419,8630,4,4.634994206257242E-4
labor |Labor,2014100909,1000,1,0.001
labor |Labor,2014100721,11447,14,0.0012230278675635538
labor |Labor,2014100722,8294,5,6.028454304316373E-4
labor |Labor,2014100720,10198,20,0.0019611688566385566
labor |Labor,2014100723,5300,4,7.547169811320754E-4
labor |Labor,2014100520,14801,6,4.0537801499898656E-4
