wife |wife,2014100402,6613,2,3.0243459851807047E-4
wife |wife,2014100505,6487,2,3.083089255433945E-4
wife |wife,2014100401,4570,2,4.37636761487965E-4
wife |wife,2014100504,3861,1,2.59000259000259E-4
wife |wife,2014100400,5285,4,7.568590350047304E-4
wife |wife,2014100503,4540,2,4.405286343612335E-4
wife |wife,2014100709,5572,0,0.0
wife |wife,2014100407,7111,1,1.406271972999578E-4
wife |wife,2014100406,10763,0,0.0
wife |wife,2014100501,6148,1,1.6265452179570593E-4
wife |wife,2014100405,10366,2,1.9293845263360988E-4
wife |wife,2014100500,11540,7,6.065857885615251E-4
wife |wife,2014100404,3086,2,6.480881399870382E-4
wife |wife,2014100409,9932,3,3.0205396697543293E-4
wife |wife,2014100408,10458,2,1.9124115509657678E-4
wife |wife,2014100903,4141,2,4.829751267809708E-4
wife |wife,2014100613,12260,3,2.4469820554649265E-4
wife |wife,2014100904,4854,1,2.0601565718994644E-4
wife |wife,2014100614,10247,6,5.855372304089002E-4
wife |wife,2014100905,7777,1,1.2858428700012858E-4
wife |wife,2014100615,8801,11,0.0012498579706851495
wife |wife,2014100710,7431,3,4.037141703673799E-4
wife |wife,2014100906,3505,4,0.0011412268188302425
wife |wife,2014100616,10833,4,3.6924213052709313E-4
wife |wife,2014100711,13474,6,4.45302063232893E-4
wife |wife,2014100617,11523,4,3.4713182330990195E-4
wife |wife,2014100900,3864,5,0.0012939958592132505
wife |wife,2014100618,10834,4,3.6920804873546244E-4
wife |wife,2014100901,3052,3,9.82961992136304E-4
wife |wife,2014100619,10472,31,0.0029602750190985483
wife |wife,2014100902,4916,0,0.0
wife |wife,2014100716,9756,14,0.0014350143501435015
wife |wife,2014100800,3418,8,0.0023405500292568754
wife |wife,2014100717,12018,27,0.0022466300549176237
wife |wife,2014100801,4912,3,6.107491856677524E-4
wife |wife,2014100718,9824,44,0.004478827361563518
wife |wife,2014100802,4582,7,0.0015277171540811873
wife |wife,2014100719,8904,15,0.0016846361185983828
wife |wife,2014100803,4750,3,6.315789473684211E-4
wife |wife,2014100712,10146,5,4.928050463236743E-4
wife |wife,2014100804,8238,0,0.0
wife |wife,2014100610,8565,6,7.005253940455342E-4
wife |wife,2014100713,7382,21,0.002844757518287727
wife |wife,2014100805,6904,1,1.4484356894553882E-4
wife |wife,2014100611,8676,3,3.4578146611341634E-4
wife |wife,2014100714,9294,12,0.0012911555842479018
wife |wife,2014100806,7696,4,5.197505197505198E-4
wife |wife,2014100612,7761,1,1.2884937508053087E-4
wife |wife,2014100715,8494,4,4.709206498704968E-4
wife |wife,2014100807,6298,3,4.76341695776437E-4
wife |wife,2014100519,13547,4,2.9526832509042594E-4
wife |wife,2014100809,5933,1,1.6854879487611664E-4
wife |wife,2014100518,12589,2,1.588688537612201E-4
wife |wife,2014100808,7916,0,0.0
wife |wife,2014100410,8297,3,3.615764734241292E-4
wife |wife,2014100412,8252,4,4.847309743092584E-4
wife |wife,2014100515,6526,3,4.5969966288691386E-4
wife |wife,2014100411,8736,1,1.1446886446886447E-4
wife |wife,2014100514,7337,5,6.814774430966335E-4
wife |wife,2014100414,8029,2,2.4909702329057166E-4
wife |wife,2014100517,16635,5,3.0057108506161706E-4
wife |wife,2014100413,7649,4,5.229441757092431E-4
wife |wife,2014100516,7164,4,5.583472920156337E-4
wife |wife,2014100416,8535,3,3.51493848857645E-4
wife |wife,2014100511,8203,4,4.876264781177618E-4
wife |wife,2014100415,9288,4,4.306632213608958E-4
wife |wife,2014100510,7389,3,4.060089321965083E-4
wife |wife,2014100418,8794,2,2.2742779167614282E-4
wife |wife,2014100513,8653,2,2.3113371085172773E-4
wife |wife,2014100417,9001,6,6.665926008221309E-4
wife |wife,2014100512,7658,5,6.529119874640898E-4
wife |wife,2014100908,14247,7,4.913315083877308E-4
wife |wife,2014100907,7751,5,6.450780544445878E-4
wife |wife,2014100419,8630,6,6.952491309385864E-4
wife |wife,2014100909,1000,0,0.0
wife |wife,2014100721,11447,16,0.0013977461343583472
wife |wife,2014100722,8294,21,0.0025319508078128767
wife |wife,2014100720,10198,8,7.844675426554226E-4
wife |wife,2014100723,5300,26,0.004905660377358491
wife |wife,2014100520,14801,4,2.7025200999932435E-4
wife |wife,2014100523,12605,53,0.004204680682268941
wife |wife,2014100522,10915,5,4.580852038479157E-4
wife |wife,2014100521,14363,7,4.8736336419967973E-4
wife |wife,2014100623,8800,7,7.954545454545455E-4
wife |wife,2014100622,9000,10,0.0011111111111111111
wife |wife,2014100621,9007,6,6.661485511269013E-4
wife |wife,2014100620,8998,12,0.0013336296954878863
wife |wife,2014093011,9741,1,1.026588645929576E-4
wife |wife,2014093012,11191,8,7.148601554820838E-4
wife |wife,2014093013,5267,4,7.594456047085627E-4
wife |wife,2014093017,3899,4,0.0010259040779687098
wife |wife,2014093018,99,1,0.010101010101010102
wife |wife,2014093019,8564,5,5.838393274170948E-4
