border |Borders |border |borders,2014100701,13455,1,7.432181345224824E-5
border |Borders |border |borders,2014100816,7857,1,1.2727504136438844E-4
border |Borders |border |borders,2014100702,8524,0,0.0
border |Borders |border |borders,2014100509,9287,0,0.0
border |Borders |border |borders,2014100508,6498,0,0.0
border |Borders |border |borders,2014100819,4300,0,0.0
border |Borders |border |borders,2014100507,16911,0,0.0
border |Borders |border |borders,2014100403,6749,2,2.96340198547933E-4
border |Borders |border |borders,2014100506,11836,0,0.0
border |Borders |border |borders,2014100402,6613,0,0.0
border |Borders |border |borders,2014100505,6487,0,0.0
border |Borders |border |borders,2014100401,4570,0,0.0
border |Borders |border |borders,2014100504,3861,1,2.59000259000259E-4
border |Borders |border |borders,2014100400,5285,0,0.0
border |Borders |border |borders,2014100503,4540,0,0.0
border |Borders |border |borders,2014100709,5572,0,0.0
border |Borders |border |borders,2014100407,7111,2,2.812543945999156E-4
border |Borders |border |borders,2014100406,10763,4,3.71643593793552E-4
border |Borders |border |borders,2014100501,6148,0,0.0
border |Borders |border |borders,2014100405,10366,0,0.0
border |Borders |border |borders,2014100500,11540,0,0.0
border |Borders |border |borders,2014100404,3086,0,0.0
border |Borders |border |borders,2014100409,9932,0,0.0
border |Borders |border |borders,2014100408,10458,0,0.0
border |Borders |border |borders,2014100903,4141,0,0.0
border |Borders |border |borders,2014100613,12260,1,8.156606851549755E-5
border |Borders |border |borders,2014100904,4854,0,0.0
border |Borders |border |borders,2014100614,10247,2,1.9517907680296673E-4
border |Borders |border |borders,2014100905,7777,0,0.0
border |Borders |border |borders,2014100615,8801,2,2.2724690376093625E-4
border |Borders |border |borders,2014100710,7431,0,0.0
border |Borders |border |borders,2014100906,3505,1,2.853067047075606E-4
border |Borders |border |borders,2014100616,10833,0,0.0
border |Borders |border |borders,2014100711,13474,1,7.421701053881549E-5
border |Borders |border |borders,2014100617,11523,0,0.0
border |Borders |border |borders,2014100900,3864,0,0.0
border |Borders |border |borders,2014100618,10834,0,0.0
border |Borders |border |borders,2014100901,3052,0,0.0
border |Borders |border |borders,2014100619,10472,1,9.549274255156608E-5
border |Borders |border |borders,2014100902,4916,0,0.0
border |Borders |border |borders,2014100716,9756,0,0.0
border |Borders |border |borders,2014100800,3418,2,5.851375073142189E-4
border |Borders |border |borders,2014100717,12018,1,8.320852055250458E-5
border |Borders |border |borders,2014100801,4912,2,4.0716612377850165E-4
border |Borders |border |borders,2014100718,9824,0,0.0
border |Borders |border |borders,2014100802,4582,0,0.0
border |Borders |border |borders,2014100719,8904,2,2.2461814914645105E-4
border |Borders |border |borders,2014100803,4750,0,0.0
border |Borders |border |borders,2014100712,10146,0,0.0
border |Borders |border |borders,2014100804,8238,0,0.0
border |Borders |border |borders,2014100610,8565,1,1.1675423234092235E-4
border |Borders |border |borders,2014100713,7382,0,0.0
border |Borders |border |borders,2014100805,6904,0,0.0
border |Borders |border |borders,2014100611,8676,1,1.152604887044721E-4
border |Borders |border |borders,2014100714,9294,5,5.379814934366257E-4
border |Borders |border |borders,2014100806,7696,1,1.2993762993762994E-4
border |Borders |border |borders,2014100612,7761,1,1.2884937508053087E-4
border |Borders |border |borders,2014100715,8494,3,3.531904874028726E-4
border |Borders |border |borders,2014100807,6298,2,3.1756113051762465E-4
border |Borders |border |borders,2014100519,13547,2,1.4763416254521297E-4
border |Borders |border |borders,2014100809,5933,2,3.370975897522333E-4
border |Borders |border |borders,2014100518,12589,0,0.0
border |Borders |border |borders,2014100808,7916,0,0.0
border |Borders |border |borders,2014100410,8297,0,0.0
border |Borders |border |borders,2014100412,8252,0,0.0
border |Borders |border |borders,2014100515,6526,0,0.0
border |Borders |border |borders,2014100411,8736,1,1.1446886446886447E-4
border |Borders |border |borders,2014100514,7337,2,2.725909772386534E-4
border |Borders |border |borders,2014100414,8029,0,0.0
border |Borders |border |borders,2014100517,16635,0,0.0
border |Borders |border |borders,2014100413,7649,6,7.844162635638645E-4
border |Borders |border |borders,2014100516,7164,0,0.0
border |Borders |border |borders,2014100416,8535,1,1.1716461628588167E-4
border |Borders |border |borders,2014100511,8203,2,2.438132390588809E-4
border |Borders |border |borders,2014100415,9288,3,3.2299741602067185E-4
border |Borders |border |borders,2014100510,7389,0,0.0
border |Borders |border |borders,2014100418,8794,0,0.0
border |Borders |border |borders,2014100513,8653,0,0.0
border |Borders |border |borders,2014100417,9001,0,0.0
border |Borders |border |borders,2014100512,7658,1,1.3058239749281798E-4
border |Borders |border |borders,2014100908,14247,1,7.019021548396153E-5
border |Borders |border |borders,2014100907,7751,1,1.2901561088891756E-4
border |Borders |border |borders,2014100419,8630,7,8.111239860950173E-4
border |Borders |border |borders,2014100909,1000,0,0.0
border |Borders |border |borders,2014100721,11447,2,1.747182667947934E-4
border |Borders |border |borders,2014100722,8294,13,0.001567398119122257
border |Borders |border |borders,2014100720,10198,16,0.0015689350853108452
border |Borders |border |borders,2014100723,5300,5,9.433962264150943E-4
border |Borders |border |borders,2014100520,14801,2,1.3512600499966218E-4
