student |students |student |Students,2014100816,7857,10,0.0012727504136438843
student |students |student |Students,2014100702,8524,2,2.346316283435007E-4
student |students |student |Students,2014100509,9287,6,6.460643910843114E-4
student |students |student |Students,2014100508,6498,1,1.538935056940597E-4
student |students |student |Students,2014100819,4300,8,0.0018604651162790699
student |students |student |Students,2014100507,16911,3,1.7739932588256165E-4
student |students |student |Students,2014100403,6749,3,4.4451029782189953E-4
student |students |student |Students,2014100506,11836,0,0.0
student |students |student |Students,2014100402,6613,7,0.0010585210948132466
student |students |student |Students,2014100505,6487,2,3.083089255433945E-4
student |students |student |Students,2014100401,4570,3,6.564551422319475E-4
student |students |student |Students,2014100504,3861,0,0.0
student |students |student |Students,2014100400,5285,4,7.568590350047304E-4
student |students |student |Students,2014100503,4540,3,6.607929515418502E-4
student |students |student |Students,2014100709,5572,15,0.0026920315865039484
student |students |student |Students,2014100407,7111,3,4.2188159189987344E-4
student |students |student |Students,2014100406,10763,2,1.85821796896776E-4
student |students |student |Students,2014100501,6148,3,4.8796356538711777E-4
student |students |student |Students,2014100405,10366,1,9.646922631680494E-5
student |students |student |Students,2014100500,11540,1,8.665511265164645E-5
student |students |student |Students,2014100404,3086,2,6.480881399870382E-4
student |students |student |Students,2014100409,9932,27,0.0027184857027788964
student |students |student |Students,2014100408,10458,14,0.0013386880856760374
student |students |student |Students,2014100903,4141,1,2.414875633904854E-4
student |students |student |Students,2014100613,12260,16,0.0013050570962479609
student |students |student |Students,2014100904,4854,4,8.240626287597857E-4
student |students |student |Students,2014100614,10247,21,0.0020493803064311504
student |students |student |Students,2014100905,7777,0,0.0
student |students |student |Students,2014100615,8801,18,0.0020452221338484265
student |students |student |Students,2014100710,7431,26,0.003498856143183959
student |students |student |Students,2014100906,3505,3,8.559201141226819E-4
student |students |student |Students,2014100616,10833,7,6.46173728422413E-4
student |students |student |Students,2014100711,13474,20,0.0014843402107763098
student |students |student |Students,2014100617,11523,11,9.546125141022303E-4
student |students |student |Students,2014100900,3864,8,0.002070393374741201
student |students |student |Students,2014100618,10834,9,8.307181096547905E-4
student |students |student |Students,2014100901,3052,4,0.001310615989515072
student |students |student |Students,2014100619,10472,16,0.0015278838808250573
student |students |student |Students,2014100902,4916,2,4.068348250610252E-4
student |students |student |Students,2014100716,9756,26,0.0026650266502665026
student |students |student |Students,2014100800,3418,8,0.0023405500292568754
student |students |student |Students,2014100717,12018,20,0.0016641704110500915
student |students |student |Students,2014100801,4912,2,4.0716612377850165E-4
student |students |student |Students,2014100718,9824,14,0.0014250814332247557
student |students |student |Students,2014100802,4582,2,4.3649061545176777E-4
student |students |student |Students,2014100719,8904,16,0.0017969451931716084
student |students |student |Students,2014100803,4750,2,4.210526315789474E-4
student |students |student |Students,2014100712,10146,13,0.0012812931204415534
student |students |student |Students,2014100804,8238,1,1.2138868657441127E-4
student |students |student |Students,2014100610,8565,11,0.0012842965557501459
student |students |student |Students,2014100713,7382,11,0.001490111081007857
student |students |student |Students,2014100805,6904,1,1.4484356894553882E-4
student |students |student |Students,2014100611,8676,21,0.0024204702627939143
student |students |student |Students,2014100714,9294,21,0.0022595222724338285
student |students |student |Students,2014100806,7696,1,1.2993762993762994E-4
student |students |student |Students,2014100612,7761,20,0.0025769875016106174
student |students |student |Students,2014100715,8494,11,0.0012950317871438662
student |students |student |Students,2014100807,6298,8,0.0012702445220704986
