day |days |day,2014100406,10763,129,0.011985505899842052
day |days |day,2014100501,6148,100,0.01626545217957059
day |days |day,2014100405,10366,138,0.013312753231719082
day |days |day,2014100500,11540,134,0.011611785095320624
day |days |day,2014100404,3086,73,0.023655217109526897
day |days |day,2014100409,9932,254,0.025573902537253324
day |days |day,2014100408,10458,187,0.01788104800152993
day |days |day,2014100903,4141,83,0.020043467761410288
day |days |day,2014100613,12260,151,0.01231647634584013
day |days |day,2014100904,4854,116,0.023897816234033788
day |days |day,2014100614,10247,165,0.016102273836244754
day |days |day,2014100905,7777,88,0.011315417256011316
day |days |day,2014100615,8801,162,0.018406999204635836
day |days |day,2014100710,7431,118,0.015879424034450276
day |days |day,2014100906,3505,83,0.02368045649072753
day |days |day,2014100616,10833,173,0.015969722145296777
day |days |day,2014100711,13474,102,0.007570135074959181
day |days |day,2014100617,11523,198,0.017183025253840144
day |days |day,2014100900,3864,96,0.024844720496894408
day |days |day,2014100618,10834,219,0.02021414066826657
day |days |day,2014100901,3052,84,0.027522935779816515
day |days |day,2014100619,10472,245,0.02339572192513369
day |days |day,2014100902,4916,110,0.022375915378356388
day |days |day,2014100716,9756,266,0.027265272652726526
day |days |day,2014100800,3418,111,0.03247513165593915
day |days |day,2014100717,12018,237,0.019720419370943584
day |days |day,2014100801,4912,66,0.013436482084690555
day |days |day,2014100718,9824,251,0.025549674267100978
day |days |day,2014100802,4582,63,0.013749454386730685
day |days |day,2014100719,8904,140,0.015723270440251572
day |days |day,2014100803,4750,44,0.009263157894736843
day |days |day,2014100712,10146,156,0.01537551744529864
day |days |day,2014100804,8238,1755,0.21303714493809178
day |days |day,2014100610,8565,229,0.02673671920607122
day |days |day,2014100713,7382,117,0.015849363316174477
day |days |day,2014100805,6904,465,0.06735225955967555
day |days |day,2014100611,8676,167,0.019248501613646843
day |days |day,2014100714,9294,130,0.01398751882935227
day |days |day,2014100806,7696,284,0.036902286902286904
day |days |day,2014100612,7761,158,0.020358201262723877
day |days |day,2014100715,8494,134,0.015775841770661644
day |days |day,2014100807,6298,216,0.03429660209590346
day |days |day,2014100519,13547,295,0.021776038975418913
day |days |day,2014100809,5933,160,0.02696780718017866
day |days |day,2014100518,12589,304,0.024148065771705456
day |days |day,2014100808,7916,238,0.030065689742294087
day |days |day,2014100410,8297,273,0.03290345908159576
day |days |day,2014100412,8252,237,0.028720310227823558
day |days |day,2014100515,6526,194,0.029727244866687097
day |days |day,2014100411,8736,217,0.024839743589743588
day |days |day,2014100514,7337,290,0.039525691699604744
day |days |day,2014100414,8029,199,0.024785153817411882
day |days |day,2014100517,16635,343,0.02061917643522693
day |days |day,2014100413,7649,199,0.026016472741534843
day |days |day,2014100516,7164,210,0.02931323283082077
day |days |day,2014100416,8535,214,0.025073227885178677
day |days |day,2014100511,8203,303,0.03693770571742046
day |days |day,2014100415,9288,222,0.023901808785529714
day |days |day,2014100510,7389,350,0.04736770875625931
day |days |day,2014100418,8794,304,0.03456902433477371
day |days |day,2014100513,8653,308,0.035594591471166066
day |days |day,2014100417,9001,226,0.025108321297633598
day |days |day,2014100512,7658,335,0.04374510316009402
day |days |day,2014100908,14247,169,0.0118621464167895
day |days |day,2014100907,7751,148,0.0190943104115598
day |days |day,2014100419,8630,241,0.027925840092699883
day |days |day,2014100909,1000,16,0.016
day |days |day,2014100721,11447,180,0.015724644011531407
day |days |day,2014100722,8294,140,0.016879672052085844
day |days |day,2014100720,10198,180,0.017650519709747008
day |days |day,2014100723,5300,88,0.01660377358490566
day |days |day,2014100520,14801,336,0.022701168839943248
day |days |day,2014100523,12605,249,0.019754065846886156
day |days |day,2014100522,10915,368,0.033715071003206594
day |days |day,2014100521,14363,258,0.01796282113764534
day |days |day,2014100623,8800,97,0.011022727272727273
day |days |day,2014100622,9000,131,0.014555555555555556
day |days |day,2014100621,9007,138,0.01532141667591873
day |days |day,2014100620,8998,167,0.01855967992887308
day |days |day,2014093011,9741,134,0.01375628785545632
day |days |day,2014093012,11191,192,0.017156643731570012
day |days |day,2014093013,5267,80,0.015188912094171255
day |days |day,2014093017,3899,67,0.017183893305975893
day |days |day,2014093018,99,1,0.010101010101010102
day |days |day,2014093019,8564,148,0.017281644091546006
