aha |AHA,2014100903,4141,0,0.0
aha |AHA,2014100613,12260,0,0.0
aha |AHA,2014100904,4854,0,0.0
aha |AHA,2014100614,10247,0,0.0
aha |AHA,2014100905,7777,0,0.0
aha |AHA,2014100615,8801,1,1.1362345188046812E-4
aha |AHA,2014100710,7431,0,0.0
aha |AHA,2014100906,3505,0,0.0
aha |AHA,2014100616,10833,1,9.231053263177328E-5
aha |AHA,2014100711,13474,0,0.0
aha |AHA,2014100617,11523,0,0.0
aha |AHA,2014100900,3864,1,2.587991718426501E-4
aha |AHA,2014100618,10834,2,1.8460402436773122E-4
aha |AHA,2014100901,3052,0,0.0
aha |AHA,2014100619,10472,1,9.549274255156608E-5
aha |AHA,2014100902,4916,0,0.0
aha |AHA,2014100716,9756,2,2.050020500205002E-4
aha |AHA,2014100800,3418,0,0.0
aha |AHA,2014100717,12018,0,0.0
aha |AHA,2014100801,4912,1,2.0358306188925082E-4
aha |AHA,2014100718,9824,0,0.0
aha |AHA,2014100802,4582,0,0.0
aha |AHA,2014100719,8904,1,1.1230907457322552E-4
aha |AHA,2014100803,4750,0,0.0
aha |AHA,2014100712,10146,0,0.0
aha |AHA,2014100804,8238,0,0.0
aha |AHA,2014100610,8565,0,0.0
aha |AHA,2014100713,7382,0,0.0
aha |AHA,2014100805,6904,0,0.0
aha |AHA,2014100611,8676,1,1.152604887044721E-4
aha |AHA,2014100714,9294,0,0.0
aha |AHA,2014100806,7696,0,0.0
aha |AHA,2014100612,7761,1,1.2884937508053087E-4
aha |AHA,2014100715,8494,0,0.0
aha |AHA,2014100807,6298,0,0.0
aha |AHA,2014100519,13547,1,7.381708127260648E-5
aha |AHA,2014100809,5933,0,0.0
aha |AHA,2014100518,12589,1,7.943442688061006E-5
aha |AHA,2014100808,7916,0,0.0
aha |AHA,2014100410,8297,0,0.0
aha |AHA,2014100412,8252,0,0.0
aha |AHA,2014100515,6526,1,1.5323322096230462E-4
aha |AHA,2014100411,8736,0,0.0
aha |AHA,2014100514,7337,1,1.362954886193267E-4
aha |AHA,2014100414,8029,2,2.4909702329057166E-4
aha |AHA,2014100517,16635,0,0.0
aha |AHA,2014100413,7649,1,1.3073604392731077E-4
aha |AHA,2014100516,7164,0,0.0
aha |AHA,2014100416,8535,1,1.1716461628588167E-4
aha |AHA,2014100511,8203,1,1.2190661952944045E-4
aha |AHA,2014100415,9288,1,1.0766580534022394E-4
aha |AHA,2014100510,7389,2,2.706726214643389E-4
aha |AHA,2014100418,8794,0,0.0
aha |AHA,2014100513,8653,0,0.0
aha |AHA,2014100417,9001,1,1.1109876680368848E-4
aha |AHA,2014100512,7658,2,2.6116479498563595E-4
aha |AHA,2014100908,14247,0,0.0
aha |AHA,2014100907,7751,0,0.0
aha |AHA,2014100419,8630,0,0.0
aha |AHA,2014100909,1000,0,0.0
aha |AHA,2014100721,11447,3,2.620774001921901E-4
aha |AHA,2014100722,8294,3,3.617072582589824E-4
aha |AHA,2014100720,10198,1,9.805844283192783E-5
aha |AHA,2014100723,5300,1,1.8867924528301886E-4
aha |AHA,2014100520,14801,1,6.756300249983109E-5
aha |AHA,2014100523,12605,1,7.933359777865926E-5
aha |AHA,2014100522,10915,1,9.161704076958314E-5
aha |AHA,2014100521,14363,3,2.0887001322843416E-4
aha |AHA,2014100623,8800,0,0.0
aha |AHA,2014100622,9000,0,0.0
aha |AHA,2014100621,9007,1,1.1102475852115021E-4
aha |AHA,2014100620,8998,0,0.0
aha |AHA,2014093011,9741,0,0.0
aha |AHA,2014093012,11191,1,8.935751943526048E-5
aha |AHA,2014093013,5267,0,0.0
aha |AHA,2014093017,3899,1,2.5647601949217746E-4
aha |AHA,2014093018,99,0,0.0
aha |AHA,2014093019,8564,0,0.0
