james hird |James Hird,2014100403,6749,0,0.0
james hird |James Hird,2014100506,11836,0,0.0
james hird |James Hird,2014100402,6613,0,0.0
james hird |James Hird,2014100505,6487,0,0.0
james hird |James Hird,2014100401,4570,0,0.0
james hird |James Hird,2014100504,3861,0,0.0
james hird |James Hird,2014100400,5285,1,1.892147587511826E-4
james hird |James Hird,2014100503,4540,0,0.0
james hird |James Hird,2014100709,5572,0,0.0
james hird |James Hird,2014100407,7111,0,0.0
james hird |James Hird,2014100406,10763,0,0.0
james hird |James Hird,2014100501,6148,0,0.0
james hird |James Hird,2014100405,10366,0,0.0
james hird |James Hird,2014100500,11540,0,0.0
james hird |James Hird,2014100404,3086,0,0.0
james hird |James Hird,2014100409,9932,0,0.0
james hird |James Hird,2014100408,10458,0,0.0
james hird |James Hird,2014100903,4141,0,0.0
james hird |James Hird,2014100613,12260,7,5.709624796084829E-4
james hird |James Hird,2014100904,4854,0,0.0
james hird |James Hird,2014100614,10247,36,0.003513223382453401
james hird |James Hird,2014100905,7777,0,0.0
james hird |James Hird,2014100615,8801,19,0.0021588455857288946
james hird |James Hird,2014100710,7431,0,0.0
james hird |James Hird,2014100906,3505,1,2.853067047075606E-4
james hird |James Hird,2014100616,10833,128,0.01181574817686698
james hird |James Hird,2014100711,13474,13,9.648211370046015E-4
james hird |James Hird,2014100617,11523,19,0.0016488761607220343
james hird |James Hird,2014100900,3864,1,2.587991718426501E-4
james hird |James Hird,2014100618,10834,16,0.0014768321949418497
james hird |James Hird,2014100901,3052,0,0.0
james hird |James Hird,2014100619,10472,5,4.774637127578304E-4
james hird |James Hird,2014100902,4916,0,0.0
james hird |James Hird,2014100716,9756,3,3.075030750307503E-4
james hird |James Hird,2014100800,3418,0,0.0
james hird |James Hird,2014100717,12018,4,3.328340822100183E-4
james hird |James Hird,2014100801,4912,0,0.0
james hird |James Hird,2014100718,9824,7,7.125407166123778E-4
james hird |James Hird,2014100802,4582,0,0.0
james hird |James Hird,2014100719,8904,30,0.0033692722371967657
james hird |James Hird,2014100803,4750,0,0.0
james hird |James Hird,2014100712,10146,26,0.002562586240883107
james hird |James Hird,2014100804,8238,0,0.0
james hird |James Hird,2014100610,8565,7,8.172796263864566E-4
james hird |James Hird,2014100713,7382,3,4.06393931183961E-4
james hird |James Hird,2014100805,6904,0,0.0
james hird |James Hird,2014100611,8676,17,0.001959428307976026
james hird |James Hird,2014100714,9294,3,3.2278889606197545E-4
james hird |James Hird,2014100806,7696,0,0.0
james hird |James Hird,2014100612,7761,14,0.001803891251127432
james hird |James Hird,2014100715,8494,2,2.354603249352484E-4
james hird |James Hird,2014100807,6298,0,0.0
james hird |James Hird,2014100519,13547,4,2.9526832509042594E-4
james hird |James Hird,2014100809,5933,1,1.6854879487611664E-4
james hird |James Hird,2014100518,12589,7,5.560409881642704E-4
james hird |James Hird,2014100808,7916,0,0.0
james hird |James Hird,2014100410,8297,1,1.205254911413764E-4
