collingwood |Collingwood,2014100704,3010,1,3.322259136212625E-4
collingwood |Collingwood,2014100815,5628,5,8.884150675195451E-4
collingwood |Collingwood,2014100701,13455,0,0.0
collingwood |Collingwood,2014100816,7857,3,3.8182512409316535E-4
collingwood |Collingwood,2014100702,8524,0,0.0
collingwood |Collingwood,2014100509,9287,0,0.0
collingwood |Collingwood,2014100508,6498,1,1.538935056940597E-4
collingwood |Collingwood,2014100819,4300,1,2.3255813953488373E-4
collingwood |Collingwood,2014100507,16911,2,1.182662172550411E-4
collingwood |Collingwood,2014100403,6749,0,0.0
collingwood |Collingwood,2014100506,11836,0,0.0
collingwood |Collingwood,2014100402,6613,0,0.0
collingwood |Collingwood,2014100505,6487,0,0.0
collingwood |Collingwood,2014100401,4570,1,2.188183807439825E-4
collingwood |Collingwood,2014100504,3861,2,5.18000518000518E-4
collingwood |Collingwood,2014100400,5285,0,0.0
collingwood |Collingwood,2014100503,4540,1,2.2026431718061675E-4
collingwood |Collingwood,2014100709,5572,3,5.384063173007897E-4
collingwood |Collingwood,2014100407,7111,2,2.812543945999156E-4
collingwood |Collingwood,2014100406,10763,1,9.2910898448388E-5
collingwood |Collingwood,2014100501,6148,1,1.6265452179570593E-4
collingwood |Collingwood,2014100405,10366,0,0.0
collingwood |Collingwood,2014100500,11540,1,8.665511265164645E-5
collingwood |Collingwood,2014100404,3086,0,0.0
collingwood |Collingwood,2014100409,9932,3,3.0205396697543293E-4
collingwood |Collingwood,2014100408,10458,3,2.8686173264486515E-4
collingwood |Collingwood,2014100903,4141,0,0.0
collingwood |Collingwood,2014100613,12260,4,3.262642740619902E-4
collingwood |Collingwood,2014100904,4854,1,2.0601565718994644E-4
collingwood |Collingwood,2014100614,10247,5,4.879476920074168E-4
collingwood |Collingwood,2014100905,7777,0,0.0
collingwood |Collingwood,2014100615,8801,20,0.0022724690376093627
collingwood |Collingwood,2014100710,7431,8,0.0010765711209796797
collingwood |Collingwood,2014100906,3505,0,0.0
collingwood |Collingwood,2014100616,10833,8,7.384842610541863E-4
collingwood |Collingwood,2014100711,13474,5,3.7108505269407746E-4
collingwood |Collingwood,2014100617,11523,7,6.074806907923284E-4
collingwood |Collingwood,2014100900,3864,0,0.0
collingwood |Collingwood,2014100618,10834,4,3.6920804873546244E-4
collingwood |Collingwood,2014100901,3052,0,0.0
collingwood |Collingwood,2014100619,10472,2,1.9098548510313216E-4
collingwood |Collingwood,2014100902,4916,0,0.0
collingwood |Collingwood,2014100716,9756,16,0.0016400164001640015
collingwood |Collingwood,2014100800,3418,1,2.925687536571094E-4
collingwood |Collingwood,2014100717,12018,4,3.328340822100183E-4
collingwood |Collingwood,2014100801,4912,0,0.0
collingwood |Collingwood,2014100718,9824,8,8.143322475570033E-4
collingwood |Collingwood,2014100802,4582,0,0.0
collingwood |Collingwood,2014100719,8904,12,0.0013477088948787063
collingwood |Collingwood,2014100803,4750,0,0.0
collingwood |Collingwood,2014100712,10146,15,0.0014784151389710231
collingwood |Collingwood,2014100804,8238,1,1.2138868657441127E-4
collingwood |Collingwood,2014100610,8565,63,0.007355516637478109
collingwood |Collingwood,2014100713,7382,9,0.001219181793551883
collingwood |Collingwood,2014100805,6904,0,0.0
collingwood |Collingwood,2014100611,8676,21,0.0024204702627939143
collingwood |Collingwood,2014100714,9294,26,0.002797503765870454
collingwood |Collingwood,2014100806,7696,2,2.598752598752599E-4
collingwood |Collingwood,2014100612,7761,9,0.0011596443757247777
collingwood |Collingwood,2014100715,8494,9,0.0010595714622086178
collingwood |Collingwood,2014100807,6298,4,6.351222610352493E-4
collingwood |Collingwood,2014100519,13547,4,2.9526832509042594E-4
collingwood |Collingwood,2014100809,5933,0,0.0
collingwood |Collingwood,2014100518,12589,1,7.943442688061006E-5
collingwood |Collingwood,2014100808,7916,2,2.5265285497726126E-4
collingwood |Collingwood,2014100410,8297,1,1.205254911413764E-4
collingwood |Collingwood,2014100412,8252,3,3.6354823073194375E-4
collingwood |Collingwood,2014100515,6526,4,6.129328838492185E-4
collingwood |Collingwood,2014100411,8736,2,2.2893772893772894E-4
collingwood |Collingwood,2014100514,7337,9,0.0012266593975739403
collingwood |Collingwood,2014100414,8029,6,7.47291069871715E-4
collingwood |Collingwood,2014100517,16635,2,1.2022843402464683E-4
collingwood |Collingwood,2014100413,7649,4,5.229441757092431E-4
collingwood |Collingwood,2014100516,7164,5,6.979341150195422E-4
collingwood |Collingwood,2014100416,8535,3,3.51493848857645E-4
collingwood |Collingwood,2014100511,8203,4,4.876264781177618E-4
collingwood |Collingwood,2014100415,9288,4,4.306632213608958E-4
collingwood |Collingwood,2014100510,7389,7,9.473541751251861E-4
collingwood |Collingwood,2014100418,8794,2,2.2742779167614282E-4
collingwood |Collingwood,2014100513,8653,15,0.0017335028313879579
collingwood |Collingwood,2014100417,9001,3,3.3329630041106545E-4
collingwood |Collingwood,2014100512,7658,3,3.917471924784539E-4
collingwood |Collingwood,2014100908,14247,6,4.211412929037692E-4
collingwood |Collingwood,2014100907,7751,4,5.160624435556702E-4
collingwood |Collingwood,2014100419,8630,2,2.317497103128621E-4
collingwood |Collingwood,2014100909,1000,0,0.0
collingwood |Collingwood,2014100721,11447,7,6.115139337817769E-4
collingwood |Collingwood,2014100722,8294,7,8.439836026042923E-4
collingwood |Collingwood,2014100720,10198,2,1.9611688566385565E-4
collingwood |Collingwood,2014100723,5300,4,7.547169811320754E-4
